Quarter,Comparison,Group,Metric,Type,% Change,Abs Change,Current Value,Comparison Value
FY2024Q3,vs Prev Year (FY2023Q3),Overall Inquarter,Total ARR,Increase,203.23%,3153083.16,4704602.69,1551519.53
FY2024Q3,vs Prev Year (FY2023Q3),Overall Inquarter,# of Opps,Decrease,-56.25%,-900.0,700.0,1600.0
FY2024Q3,vs Prev Year (FY2023Q3),Overall Inquarter,# of Won Opps,Decrease,-46.06%,-257.0,301.0,558.0
FY2024Q3,vs Prev Year (FY2023Q3),Overall Inquarter,Won ARR,Increase,1.28%,19490.279999999795,1545009.81,1525519.5300000003
FY2024Q3,vs Prev Year (FY2023Q3),Overall Inquarter,Avg Sales Price,Increase,87.75%,2399.0169890686952,5132.922956810631,2733.905967741936
FY2024Q3,vs Prev Year (FY2023Q3),Overall Inquarter,Win Rate (Count),Increase,23.90%,8.365484399350592,43.371757925072046,35.006273525721454
FY2024Q3,vs Prev Year (FY2023Q3),Overall Inquarter,Avg Sales Cycle,Increase,11.31%,1.8443182224127455,18.156146179401993,16.311827956989248
FY2024Q3,vs Prev Year (FY2023Q3),Overall Inquarter,Pipegen ARR,Increase,0.00%,14380417.86,14380417.86,0.0
FY2024Q3,vs Prev Year (FY2023Q3),Overall Inquarter,# of Pipegen Opps,Increase,0.00%,1270.0,1270.0,0.0
FY2024Q3,vs Avg of FY2023Q3-FY2024Q2,Overall Inquarter,Total ARR,Increase,50.68%,1582447.2875000006,4704602.69,3122155.4025
FY2024Q3,vs Avg of FY2023Q3-FY2024Q2,Overall Inquarter,# of Opps,Decrease,-36.55%,-403.25,700.0,1103.25
FY2024Q3,vs Avg of FY2023Q3-FY2024Q2,Overall Inquarter,# of Won Opps,Decrease,-24.66%,-98.5,301.0,399.5
FY2024Q3,vs Avg of FY2023Q3-FY2024Q2,Overall Inquarter,Won ARR,Increase,6.02%,87755.75999999978,1545009.81,1457254.0500000003
FY2024Q3,vs Avg of FY2023Q3-FY2024Q2,Overall Inquarter,Avg Sales Price,Increase,29.79%,1178.262093559776,5132.922956810631,3954.660863250855
FY2024Q3,vs Avg of FY2023Q3-FY2024Q2,Overall Inquarter,Win Rate (Count),Increase,16.90%,6.269080089302115,43.371757925072046,37.10267783576993
FY2024Q3,vs Avg of FY2023Q3-FY2024Q2,Overall Inquarter,Avg Sales Cycle,Increase,4.84%,0.8377264449267585,18.156146179401993,17.318419734475235
FY2024Q3,vs Avg of FY2023Q3-FY2024Q2,Overall Inquarter,Pipegen ARR,Increase,10.88%,1410579.504999999,14380417.86,12969838.355
FY2024Q3,vs Avg of FY2023Q3-FY2024Q2,Overall Inquarter,# of Pipegen Opps,Increase,48.49%,414.75,1270.0,855.25
FY2024Q4,vs Prev Q (FY2024Q3),Overall Inquarter,Total ARR,Decrease,-15.45%,-726661.2700000005,3977941.42,4704602.69
FY2024Q4,vs Prev Q (FY2024Q3),Overall Inquarter,# of Opps,Decrease,-24.86%,-174.0,526.0,700.0
FY2024Q4,vs Prev Q (FY2024Q3),Overall Inquarter,# of Won Opps,Decrease,-18.60%,-56.0,245.0,301.0
FY2024Q4,vs Prev Q (FY2024Q3),Overall Inquarter,Won ARR,Decrease,-10.98%,-169668.8600000001,1375340.95,1545009.81
FY2024Q4,vs Prev Q (FY2024Q3),Overall Inquarter,Avg Sales Price,Increase,9.37%,480.71357380161317,5613.636530612244,5132.922956810631
FY2024Q4,vs Prev Q (FY2024Q3),Overall Inquarter,Win Rate (Count),Increase,8.42%,3.653194090283044,47.02495201535509,43.371757925072046
FY2024Q4,vs Prev Q (FY2024Q3),Overall Inquarter,Avg Sales Cycle,Increase,8.49%,1.541813004271475,19.69795918367347,18.156146179401993
FY2024Q4,vs Prev Q (FY2024Q3),Overall Inquarter,Pipegen ARR,Increase,7.63%,1096921.5899999999,15477339.45,14380417.86
FY2024Q4,vs Prev Q (FY2024Q3),Overall Inquarter,# of Pipegen Opps,Increase,17.40%,221.0,1491.0,1270.0
FY2024Q4,vs Prev Year (FY2023Q4),Overall Inquarter,Total ARR,Increase,217.00%,2723053.11,3977941.42,1254888.31
FY2024Q4,vs Prev Year (FY2023Q4),Overall Inquarter,# of Opps,Decrease,-56.92%,-695.0,526.0,1221.0
FY2024Q4,vs Prev Year (FY2023Q4),Overall Inquarter,# of Won Opps,Decrease,-43.81%,-191.0,245.0,436.0
FY2024Q4,vs Prev Year (FY2023Q4),Overall Inquarter,Won ARR,Increase,19.15%,221051.5,1375340.95,1154289.45
FY2024Q4,vs Prev Year (FY2023Q4),Overall Inquarter,Avg Sales Price,Increase,112.04%,2966.1836636397675,5613.636530612244,2647.452866972477
FY2024Q4,vs Prev Year (FY2023Q4),Overall Inquarter,Win Rate (Count),Increase,31.69%,11.316516306919382,47.02495201535509,35.70843570843571
FY2024Q4,vs Prev Year (FY2023Q4),Overall Inquarter,Avg Sales Cycle,Increase,2.61%,0.5007114772514498,19.69795918367347,19.19724770642202
FY2024Q4,vs Prev Year (FY2023Q4),Overall Inquarter,Pipegen ARR,Increase,0.00%,15477339.45,15477339.45,0.0
FY2024Q4,vs Prev Year (FY2023Q4),Overall Inquarter,# of Pipegen Opps,Increase,0.00%,1491.0,1491.0,0.0
FY2024Q4,vs Avg of FY2023Q4-FY2024Q3,Overall Inquarter,Total ARR,Increase,1.73%,67515.22750000004,3977941.42,3910426.1925
FY2024Q4,vs Avg of FY2023Q4-FY2024Q3,Overall Inquarter,# of Opps,Decrease,-40.11%,-352.25,526.0,878.25
FY2024Q4,vs Avg of FY2023Q4-FY2024Q3,Overall Inquarter,# of Won Opps,Decrease,-26.92%,-90.25,245.0,335.25
FY2024Q4,vs Avg of FY2023Q4-FY2024Q3,Overall Inquarter,Won ARR,Decrease,-5.94%,-86785.67000000016,1375340.95,1462126.62
FY2024Q4,vs Avg of FY2023Q4-FY2024Q3,Overall Inquarter,Avg Sales Price,Increase,23.26%,1059.2214200942153,5613.636530612244,4554.415110518029
FY2024Q4,vs Avg of FY2023Q4-FY2024Q3,Overall Inquarter,Win Rate (Count),Increase,19.98%,7.830903079747507,47.02495201535509,39.19404893560758
FY2024Q4,vs Avg of FY2023Q4-FY2024Q3,Overall Inquarter,Avg Sales Cycle,Increase,10.79%,1.918459893595049,19.69795918367347,17.77949929007842
FY2024Q4,vs Avg of FY2023Q4-FY2024Q3,Overall Inquarter,Pipegen ARR,Decrease,-6.57%,-1087603.370000001,15477339.45,16564942.82
FY2024Q4,vs Avg of FY2023Q4-FY2024Q3,Overall Inquarter,# of Pipegen Opps,Increase,27.14%,318.25,1491.0,1172.75
FY2025Q1,vs Prev Q (FY2024Q4),Overall Inquarter,Total ARR,Increase,11.98%,476747.03000000026,4454688.45,3977941.42
FY2025Q1,vs Prev Q (FY2024Q4),Overall Inquarter,# of Opps,Increase,4.56%,24.0,550.0,526.0
FY2025Q1,vs Prev Q (FY2024Q4),Overall Inquarter,# of Won Opps,Increase,3.67%,9.0,254.0,245.0
FY2025Q1,vs Prev Q (FY2024Q4),Overall Inquarter,Won ARR,Increase,8.55%,117611.68000000017,1492952.6300000001,1375340.95
FY2025Q1,vs Prev Q (FY2024Q4),Overall Inquarter,Avg Sales Price,Increase,4.71%,264.1297292302761,5877.76625984252,5613.636530612244
FY2025Q1,vs Prev Q (FY2024Q4),Overall Inquarter,Win Rate (Count),Decrease,-1.61%,-0.7590139461383316,46.26593806921676,47.02495201535509
FY2025Q1,vs Prev Q (FY2024Q4),Overall Inquarter,Avg Sales Cycle,Increase,10.05%,1.979206170657239,21.677165354330707,19.69795918367347
FY2025Q1,vs Prev Q (FY2024Q4),Overall Inquarter,Pipegen ARR,Decrease,-100.00%,-15477339.45,0.0,15477339.45
FY2025Q1,vs Prev Q (FY2024Q4),Overall Inquarter,# of Pipegen Opps,Decrease,-100.00%,-1491.0,0.0,1491.0
FY2025Q1,vs Prev Year (FY2024Q1),Overall Inquarter,Total ARR,Decrease,-17.50%,-944915.3999999994,4454688.45,5399603.85
FY2025Q1,vs Prev Year (FY2024Q1),Overall Inquarter,# of Opps,Decrease,-41.74%,-394.0,550.0,944.0
FY2025Q1,vs Prev Year (FY2024Q1),Overall Inquarter,# of Won Opps,Decrease,-22.32%,-73.0,254.0,327.0
FY2025Q1,vs Prev Year (FY2024Q1),Overall Inquarter,Won ARR,Decrease,-11.55%,-194886.5199999998,1492952.6300000001,1687839.15
FY2025Q1,vs Prev Year (FY2024Q1),Overall Inquarter,Avg Sales Price,Increase,13.88%,716.1786451636217,5877.76625984252,5161.587614678899
FY2025Q1,vs Prev Year (FY2024Q1),Overall Inquarter,Win Rate (Count),Increase,33.14%,11.515672394402728,46.26593806921676,34.75026567481403
FY2025Q1,vs Prev Year (FY2024Q1),Overall Inquarter,Avg Sales Cycle,Increase,48.64%,7.09306749500349,21.677165354330707,14.584097859327217
FY2025Q1,vs Prev Year (FY2024Q1),Overall Inquarter,Pipegen ARR,Decrease,-100.00%,-28257884.25,0.0,28257884.25
FY2025Q1,vs Prev Year (FY2024Q1),Overall Inquarter,# of Pipegen Opps,Decrease,-100.00%,-1878.0,0.0,1878.0
FY2025Q1,vs Avg of FY2024Q1-FY2024Q4,Overall Inquarter,Total ARR,Decrease,-2.97%,-136501.02000000048,4454688.45,4591189.470000001
FY2025Q1,vs Avg of FY2024Q1-FY2024Q4,Overall Inquarter,# of Opps,Decrease,-21.93%,-154.5,550.0,704.5
FY2025Q1,vs Avg of FY2024Q1-FY2024Q4,Overall Inquarter,# of Won Opps,Decrease,-11.65%,-33.5,254.0,287.5
FY2025Q1,vs Avg of FY2024Q1-FY2024Q4,Overall Inquarter,Won ARR,Decrease,-1.61%,-24436.864999999758,1492952.6300000001,1517389.4949999999
FY2025Q1,vs Avg of FY2024Q1-FY2024Q4,Overall Inquarter,Avg Sales Price,Increase,10.99%,581.8052334145495,5877.76625984252,5295.961026427971
FY2025Q1,vs Avg of FY2024Q1-FY2024Q4,Overall Inquarter,Win Rate (Count),Increase,10.10%,4.242760056879334,46.26593806921676,42.023178012337425
FY2025Q1,vs Avg of FY2024Q1-FY2024Q4,Overall Inquarter,Avg Sales Cycle,Increase,21.07%,3.7724881949394238,21.677165354330707,17.904677159391284
FY2025Q1,vs Avg of FY2024Q1-FY2024Q4,Overall Inquarter,Pipegen ARR,Decrease,-100.00%,-20434277.6825,0.0,20434277.6825
FY2025Q1,vs Avg of FY2024Q1-FY2024Q4,Overall Inquarter,# of Pipegen Opps,Decrease,-100.00%,-1545.5,0.0,1545.5
FY2025Q2,vs Prev Q (FY2025Q1),Overall Inquarter,Total ARR,Decrease,-5.07%,-225787.36000000034,4228901.09,4454688.45
FY2025Q2,vs Prev Q (FY2025Q1),Overall Inquarter,# of Opps,Decrease,-8.36%,-46.0,504.0,550.0
FY2025Q2,vs Prev Q (FY2025Q1),Overall Inquarter,# of Won Opps,Decrease,-14.17%,-36.0,218.0,254.0
FY2025Q2,vs Prev Q (FY2025Q1),Overall Inquarter,Won ARR,Decrease,-0.18%,-2756.600000000326,1490196.0299999998,1492952.6300000001
FY2025Q2,vs Prev Q (FY2025Q1),Overall Inquarter,Avg Sales Price,Increase,16.30%,957.995345662066,6835.761605504586,5877.76625984252
FY2025Q2,vs Prev Q (FY2025Q1),Overall Inquarter,Win Rate (Count),Decrease,-6.14%,-2.839643248499627,43.42629482071713,46.26593806921676
FY2025Q2,vs Prev Q (FY2025Q1),Overall Inquarter,Avg Sales Cycle,Decrease,-0.56%,-0.1221194827710761,21.55504587155963,21.677165354330707
FY2025Q2,vs Prev Q (FY2025Q1),Overall Inquarter,Pipegen ARR,No Change,0.00%,0.0,0.0,0.0
FY2025Q2,vs Prev Q (FY2025Q1),Overall Inquarter,# of Pipegen Opps,No Change,0.00%,0.0,0.0,0.0
FY2025Q2,vs Prev Year (FY2024Q2),Overall Inquarter,Total ARR,Decrease,-1.25%,-53708.830000000075,4228901.09,4282609.92
FY2025Q2,vs Prev Year (FY2024Q2),Overall Inquarter,# of Opps,Decrease,-22.22%,-144.0,504.0,648.0
FY2025Q2,vs Prev Year (FY2024Q2),Overall Inquarter,# of Won Opps,Decrease,-21.30%,-59.0,218.0,277.0
FY2025Q2,vs Prev Year (FY2024Q2),Overall Inquarter,Won ARR,Increase,1.97%,28827.95999999973,1490196.0299999998,1461368.07
FY2025Q2,vs Prev Year (FY2024Q2),Overall Inquarter,Avg Sales Price,Increase,29.57%,1560.064601894478,6835.761605504586,5275.697003610108
FY2025Q2,vs Prev Year (FY2024Q2),Overall Inquarter,Win Rate (Count),Increase,1.12%,0.4805583866086067,43.42629482071713,42.945736434108525
FY2025Q2,vs Prev Year (FY2024Q2),Overall Inquarter,Avg Sales Cycle,Increase,12.38%,2.3745404563971775,21.55504587155963,19.180505415162454
FY2025Q2,vs Prev Year (FY2024Q2),Overall Inquarter,Pipegen ARR,Decrease,-100.00%,-23621469.17,0.0,23621469.17
FY2025Q2,vs Prev Year (FY2024Q2),Overall Inquarter,# of Pipegen Opps,Decrease,-100.00%,-1543.0,0.0,1543.0
FY2025Q2,vs Avg of FY2024Q2-FY2025Q1,Overall Inquarter,Total ARR,Decrease,-2.89%,-126059.53000000026,4228901.09,4354960.62
FY2025Q2,vs Avg of FY2024Q2-FY2025Q1,Overall Inquarter,# of Opps,Decrease,-16.83%,-102.0,504.0,606.0
FY2025Q2,vs Avg of FY2024Q2-FY2025Q1,Overall Inquarter,# of Won Opps,Decrease,-19.03%,-51.25,218.0,269.25
FY2025Q2,vs Avg of FY2024Q2-FY2025Q1,Overall Inquarter,Won ARR,Increase,1.47%,21528.164999999804,1490196.0299999998,1468667.865
FY2025Q2,vs Avg of FY2024Q2-FY2025Q1,Overall Inquarter,Avg Sales Price,Increase,24.85%,1360.7559177857102,6835.761605504586,5475.005687718876
FY2025Q2,vs Avg of FY2024Q2-FY2025Q1,Overall Inquarter,Win Rate (Count),Decrease,-3.29%,-1.4758012902209714,43.42629482071713,44.9020961109381
FY2025Q2,vs Avg of FY2024Q2-FY2025Q1,Overall Inquarter,Avg Sales Cycle,Increase,9.54%,1.8771018384174774,21.55504587155963,19.677944033142154
FY2025Q2,vs Avg of FY2024Q2-FY2025Q1,Overall Inquarter,Pipegen ARR,Decrease,-100.00%,-13369806.620000001,0.0,13369806.620000001
FY2025Q2,vs Avg of FY2024Q2-FY2025Q1,Overall Inquarter,# of Pipegen Opps,Decrease,-100.00%,-1076.0,0.0,1076.0
FY2025Q3,vs Prev Q (FY2025Q2),Overall Inquarter,Total ARR,Decrease,-35.99%,-1521824.9099999997,2707076.18,4228901.09
FY2025Q3,vs Prev Q (FY2025Q2),Overall Inquarter,# of Opps,Decrease,-11.31%,-57.0,447.0,504.0
FY2025Q3,vs Prev Q (FY2025Q2),Overall Inquarter,# of Won Opps,Decrease,-8.72%,-19.0,199.0,218.0
