Quarter,Comparison,Group,Metric,% Change,Abs Change,Type
FY2026Q1,vs Prev Q (FY2025Q4),Overall Inquarter,Avg Sales Price,22.39%,"1,155.12",Increase
FY2026Q1,vs Prev Q (FY2025Q4),Overall Inquarter,Win Rate (Count),-24.83%,-11.10,Drop/Decrease
FY2026Q1,vs Prev Q (FY2025Q4),Overall Inquarter,Avg Sales Cycle,-25.50%,-5.96,Drop/Decrease
FY2026Q1,vs Prev Year (FY2025Q1),Overall Inquarter,Total ARR,34.03%,"1,515,783.04",Increase
FY2026Q1,vs Prev Year (FY2025Q1),Overall Inquarter,# of Opps,30.91%,170.00,Increase
FY2026Q1,vs Prev Year (FY2025Q1),Overall Inquarter,Win Rate (Count),-27.34%,-12.65,Drop/Decrease
FY2026Q1,vs Prev Year (FY2025Q1),Overall Inquarter,Avg Sales Cycle,-19.62%,-4.25,Drop/Decrease
FY2026Q1,vs Avg of FY2025Q1-FY2025Q4,Overall Inquarter,Total ARR,69.91%,"2,456,585.87",Increase
FY2026Q1,vs Avg of FY2025Q1-FY2025Q4,Overall Inquarter,# of Opps,47.69%,232.50,Increase
FY2026Q1,vs Avg of FY2025Q1-FY2025Q4,Overall Inquarter,Win Rate (Count),-25.11%,-11.27,Drop/Decrease
FY2026Q1,vs Avg of FY2025Q1-FY2025Q4,Overall Inquarter,Avg Sales Cycle,-19.93%,-4.34,Drop/Decrease
FY2026Q2,vs Prev Q (FY2026Q1),Overall Inquarter,Total ARR,-24.77%,"-1,478,602.90",Drop/Decrease
FY2026Q2,vs Prev Q (FY2026Q1),Overall Inquarter,# of Opps,-22.92%,-165.00,Drop/Decrease
FY2026Q2,vs Prev Q (FY2026Q1),Overall Inquarter,# of Won Opps,-37.39%,-89.00,Drop/Decrease
FY2026Q2,vs Prev Q (FY2026Q1),Overall Inquarter,Avg Sales Price,-22.46%,"-1,418.28",Drop/Decrease
FY2026Q2,vs Prev Q (FY2026Q1),Overall Inquarter,Win Rate (Count),24.16%,8.12,Increase
FY2026Q2,vs Prev Q (FY2026Q1),Overall Inquarter,Avg Sales Cycle,-33.44%,-5.83,Drop/Decrease
FY2026Q2,vs Prev Year (FY2025Q2),Overall Inquarter,# of Won Opps,-31.65%,-69.00,Drop/Decrease
FY2026Q2,vs Prev Year (FY2025Q2),Overall Inquarter,Avg Sales Price,-28.37%,"-1,939.31",Drop/Decrease
FY2026Q2,vs Prev Year (FY2025Q2),Overall Inquarter,Avg Sales Cycle,-46.20%,-9.96,Drop/Decrease
FY2026Q2,vs Avg of FY2025Q2-FY2026Q1,Overall Inquarter,# of Won Opps,-30.21%,-64.50,Drop/Decrease
FY2026Q2,vs Avg of FY2025Q2-FY2026Q1,Overall Inquarter,Avg Sales Cycle,-43.97%,-9.10,Drop/Decrease
FY2024Q2,vs Prev Q (FY2024Q1),Overall Total,Total ARR,-26.26%,"-3,761,836.17",Drop/Decrease
FY2024Q2,vs Prev Q (FY2024Q1),Overall Total,# of Opps,-37.22%,-794.00,Drop/Decrease
FY2024Q2,vs Prev Q (FY2024Q1),Overall Total,Win Rate (Count),43.51%,11.77,Increase
FY2024Q2,vs Prev Q (FY2024Q1),Overall Total,Avg Sales Cycle,46.77%,22.31,Increase
FY2024Q4,vs Prev Q (FY2024Q3),Overall Total,Avg Sales Price,22.79%,"1,347.32",Increase
FY2025Q1,vs Prev Year (FY2024Q1),Overall Total,Total ARR,-22.83%,"-3,269,441.12",Drop/Decrease
FY2025Q1,vs Prev Year (FY2024Q1),Overall Total,# of Opps,-43.23%,-922.00,Drop/Decrease
FY2025Q1,vs Prev Year (FY2024Q1),Overall Total,Win Rate (Count),57.58%,15.57,Increase
FY2025Q1,vs Prev Year (FY2024Q1),Overall Total,Avg Sales Cycle,33.25%,15.86,Increase
FY2025Q1,vs Avg of FY2024Q1-FY2024Q4,Overall Total,# of Opps,-22.38%,-349.25,Drop/Decrease
FY2025Q1,vs Avg of FY2024Q1-FY2024Q4,Overall Total,Win Rate (Count),17.27%,6.28,Increase
FY2025Q3,vs Prev Year (FY2024Q3),Overall Total,# of Won Opps,-23.10%,-137.00,Drop/Decrease
FY2025Q3,vs Prev Year (FY2024Q3),Overall Total,Avg Sales Cycle,18.35%,11.85,Increase
FY2025Q3,vs Avg of FY2024Q3-FY2025Q2,Overall Total,Avg Sales Cycle,15.08%,10.01,Increase
FY2025Q4,vs Prev Q (FY2025Q3),Overall Total,Avg Sales Price,23.64%,"1,514.17",Increase
FY2026Q1,vs Prev Q (FY2025Q4),Overall Total,Total ARR,30.49%,"3,371,651.91",Increase
FY2026Q1,vs Prev Q (FY2025Q4),Overall Total,# of Opps,26.45%,301.00,Increase
FY2026Q1,vs Prev Q (FY2025Q4),Overall Total,Win Rate (Count),-17.43%,-6.22,Drop/Decrease
FY2026Q1,vs Prev Q (FY2025Q4),Overall Total,Avg Sales Cycle,-24.90%,-19.21,Drop/Decrease
FY2026Q1,vs Prev Year (FY2025Q1),Overall Total,Total ARR,30.54%,"3,375,684.53",Increase
FY2026Q1,vs Prev Year (FY2025Q1),Overall Total,Win Rate (Count),-30.80%,-13.13,Drop/Decrease
FY2026Q1,vs Avg of FY2025Q1-FY2025Q4,Overall Total,Total ARR,28.19%,"3,172,988.16",Increase
FY2026Q1,vs Avg of FY2025Q1-FY2025Q4,Overall Total,# of Opps,21.26%,252.25,Increase
FY2026Q1,vs Avg of FY2025Q1-FY2025Q4,Overall Total,Win Rate (Count),-25.02%,-9.84,Drop/Decrease
FY2026Q1,vs Avg of FY2025Q1-FY2025Q4,Overall Total,Avg Sales Cycle,-18.28%,-12.97,Drop/Decrease
FY2026Q2,vs Prev Q (FY2026Q1),Overall Total,# of Won Opps,-26.38%,-110.00,Drop/Decrease
FY2026Q2,vs Prev Year (FY2025Q2),Overall Total,Total ARR,24.59%,"2,721,256.15",Increase
FY2026Q2,vs Prev Year (FY2025Q2),Overall Total,# of Won Opps,-36.17%,-174.00,Drop/Decrease
FY2026Q2,vs Prev Year (FY2025Q2),Overall Total,Win Rate (Count),-24.69%,-10.23,Drop/Decrease
FY2026Q2,vs Avg of FY2025Q2-FY2026Q1,Overall Total,# of Won Opps,-29.99%,-131.50,Drop/Decrease
FY2026Q3,vs Prev Q (FY2026Q2),Overall Total,Total ARR,31.20%,"4,302,242.61",Increase
FY2026Q3,vs Prev Q (FY2026Q2),Overall Total,# of Opps,-37.43%,-499.00,Drop/Decrease
FY2026Q3,vs Prev Q (FY2026Q2),Overall Total,# of Won Opps,-100.00%,-307.00,Drop/Decrease
FY2026Q3,vs Prev Q (FY2026Q2),Overall Total,Avg Sales Price,-100.00%,"-6,345.91",Drop/Decrease
FY2026Q3,vs Prev Q (FY2026Q2),Overall Total,Win Rate (Count),-100.00%,-31.20,Drop/Decrease
FY2026Q3,vs Prev Year (FY2025Q3),Overall Total,Total ARR,52.70%,"6,242,945.26",Increase
FY2026Q3,vs Prev Year (FY2025Q3),Overall Total,# of Opps,-32.20%,-396.00,Drop/Decrease
FY2026Q3,vs Prev Year (FY2025Q3),Overall Total,# of Won Opps,-100.00%,-456.00,Drop/Decrease
FY2026Q3,vs Prev Year (FY2025Q3),Overall Total,Avg Sales Price,-100.00%,"-6,404.99",Drop/Decrease
FY2026Q3,vs Prev Year (FY2025Q3),Overall Total,Win Rate (Count),-100.00%,-37.56,Drop/Decrease
FY2026Q3,vs Avg of FY2025Q3-FY2026Q2,Overall Total,Total ARR,41.54%,"5,309,666.89",Increase
FY2026Q3,vs Avg of FY2025Q3-FY2026Q2,Overall Total,# of Opps,-35.10%,-451.00,Drop/Decrease
FY2026Q3,vs Avg of FY2025Q3-FY2026Q2,Overall Total,# of Won Opps,-100.00%,-395.00,Drop/Decrease
FY2026Q3,vs Avg of FY2025Q3-FY2026Q2,Overall Total,Avg Sales Price,-100.00%,"-7,049.91",Drop/Decrease
FY2026Q3,vs Avg of FY2025Q3-FY2026Q2,Overall Total,Win Rate (Count),-100.00%,-33.49,Drop/Decrease
FY2026Q4,vs Prev Q (FY2026Q3),Overall Total,Total ARR,-75.98%,"-13,745,513.42",Drop/Decrease
FY2026Q4,vs Prev Q (FY2026Q3),Overall Total,# of Opps,-88.85%,-741.00,Drop/Decrease
FY2026Q4,vs Prev Year (FY2025Q4),Overall Total,Total ARR,-60.71%,"-6,712,947.61",Drop/Decrease
FY2026Q4,vs Prev Year (FY2025Q4),Overall Total,# of Opps,-91.83%,"-1,045.00",Drop/Decrease
FY2026Q4,vs Prev Year (FY2025Q4),Overall Total,# of Won Opps,-100.00%,-400.00,Drop/Decrease
FY2026Q4,vs Prev Year (FY2025Q4),Overall Total,Avg Sales Price,-100.00%,"-7,919.15",Drop/Decrease
FY2026Q4,vs Prev Year (FY2025Q4),Overall Total,Win Rate (Count),-100.00%,-35.71,Drop/Decrease
FY2026Q4,vs Avg of FY2025Q4-FY2026Q3,Overall Total,Total ARR,-69.70%,"-9,996,582.84",Drop/Decrease
FY2026Q4,vs Avg of FY2025Q4-FY2026Q3,Overall Total,# of Opps,-92.16%,"-1,093.00",Drop/Decrease
FY2026Q4,vs Avg of FY2025Q4-FY2026Q3,Overall Total,# of Won Opps,-100.00%,-281.00,Drop/Decrease
FY2026Q4,vs Avg of FY2025Q4-FY2026Q3,Overall Total,Avg Sales Price,-100.00%,"-5,448.66",Drop/Decrease
FY2026Q4,vs Avg of FY2025Q4-FY2026Q3,Overall Total,Win Rate (Count),-100.00%,-24.10,Drop/Decrease
FY2027Q1,vs Prev Q (FY2026Q4),Overall Total,Total ARR,-60.02%,"-2,607,873.58",Drop/Decrease
FY2027Q1,vs Prev Q (FY2026Q4),Overall Total,# of Opps,-82.80%,-77.00,Drop/Decrease
FY2027Q1,vs Prev Year (FY2026Q1),Overall Total,Total ARR,-87.96%,"-12,692,473.10",Drop/Decrease
FY2027Q1,vs Prev Year (FY2026Q1),Overall Total,# of Opps,-98.89%,"-1,423.00",Drop/Decrease
FY2027Q1,vs Prev Year (FY2026Q1),Overall Total,# of Won Opps,-100.00%,-417.00,Drop/Decrease
FY2027Q1,vs Prev Year (FY2026Q1),Overall Total,Avg Sales Price,-100.00%,"-7,529.57",Drop/Decrease
FY2027Q1,vs Prev Year (FY2026Q1),Overall Total,Win Rate (Count),-100.00%,-29.49,Drop/Decrease
FY2027Q1,vs Avg of FY2026Q1-FY2026Q4,Overall Total,Total ARR,-86.28%,"-10,926,219.52",Drop/Decrease
FY2027Q1,vs Avg of FY2026Q1-FY2026Q4,Overall Total,# of Opps,-98.27%,-908.75,Drop/Decrease
FY2027Q1,vs Avg of FY2026Q1-FY2026Q4,Overall Total,# of Won Opps,-100.00%,-181.00,Drop/Decrease
FY2027Q1,vs Avg of FY2026Q1-FY2026Q4,Overall Total,Avg Sales Price,-100.00%,"-3,468.87",Drop/Decrease
FY2027Q1,vs Avg of FY2026Q1-FY2026Q4,Overall Total,Win Rate (Count),-100.00%,-15.17,Drop/Decrease
FY2027Q2,vs Prev Q (FY2027Q1),Overall Total,Total ARR,-86.42%,"-1,500,916.86",Drop/Decrease
FY2027Q2,vs Prev Q (FY2027Q1),Overall Total,# of Opps,-68.75%,-11.00,Drop/Decrease
FY2027Q2,vs Prev Year (FY2026Q2),Overall Total,Total ARR,-98.29%,"-13,552,061.25",Drop/Decrease
FY2027Q2,vs Prev Year (FY2026Q2),Overall Total,# of Opps,-99.62%,"-1,328.00",Drop/Decrease
FY2027Q2,vs Prev Year (FY2026Q2),Overall Total,# of Won Opps,-100.00%,-307.00,Drop/Decrease
FY2027Q2,vs Prev Year (FY2026Q2),Overall Total,Avg Sales Price,-100.00%,"-6,345.91",Drop/Decrease
FY2027Q2,vs Prev Year (FY2026Q2),Overall Total,Win Rate (Count),-100.00%,-31.20,Drop/Decrease
FY2027Q2,vs Avg of FY2026Q2-FY2027Q1,Overall Total,Total ARR,-97.51%,"-9,254,018.10",Drop/Decrease
FY2027Q2,vs Avg of FY2026Q2-FY2027Q1,Overall Total,# of Opps,-99.12%,-564.00,Drop/Decrease
FY2027Q2,vs Avg of FY2026Q2-FY2027Q1,Overall Total,# of Won Opps,-100.00%,-76.75,Drop/Decrease
FY2027Q2,vs Avg of FY2026Q2-FY2027Q1,Overall Total,Avg Sales Price,-100.00%,"-1,586.48",Drop/Decrease
FY2027Q2,vs Avg of FY2026Q2-FY2027Q1,Overall Total,Win Rate (Count),-100.00%,-7.80,Drop/Decrease
FY2027Q3,vs Prev Q (FY2027Q2),Overall Total,Total ARR,-74.84%,"-176,549.80",Drop/Decrease
FY2027Q3,vs Prev Year (FY2026Q3),Overall Total,Total ARR,-99.67%,"-18,030,853.66",Drop/Decrease
FY2027Q3,vs Prev Year (FY2026Q3),Overall Total,# of Opps,-99.64%,-831.00,Drop/Decrease
FY2027Q3,vs Avg of FY2026Q3-FY2027Q2,Overall Total,Total ARR,-99.03%,"-6,042,552.59",Drop/Decrease
FY2027Q3,vs Avg of FY2026Q3-FY2027Q2,Overall Total,# of Opps,-98.73%,-234.00,Drop/Decrease
FY2027Q4,vs Prev Q (FY2027Q3),Overall Total,Total ARR,-88.15%,"-52,323.40",Drop/Decrease
FY2027Q4,vs Prev Year (FY2026Q4),Overall Total,Total ARR,-99.84%,"-4,337,663.64",Drop/Decrease
FY2027Q4,vs Prev Year (FY2026Q4),Overall Total,# of Opps,-97.85%,-91.00,Drop/Decrease
FY2027Q4,vs Avg of FY2026Q4-FY2027Q3,Overall Total,Total ARR,-99.56%,"-1,587,162.58",Drop/Decrease
FY2027Q4,vs Avg of FY2026Q4-FY2027Q3,Overall Total,# of Opps,-93.16%,-27.25,Drop/Decrease
FY2028Q1,vs Prev Q (FY2027Q4),Overall Total,Total ARR,731.48%,"51,472.96",Increase
FY2028Q1,vs Prev Year (FY2027Q1),Overall Total,Total ARR,-96.63%,"-1,678,317.10",Drop/Decrease
FY2028Q1,vs Prev Year (FY2027Q1),Overall Total,# of Opps,-87.50%,-14.00,Drop/Decrease
FY2028Q1,vs Avg of FY2027Q1-FY2027Q4,Overall Total,Total ARR,-88.52%,"-451,273.70",Drop/Decrease
FY2028Q2,vs Prev Q (FY2028Q1),Overall Total,Total ARR,-89.48%,"-52,352.56",Drop/Decrease
FY2028Q2,vs Prev Year (FY2027Q2),Overall Total,Total ARR,-97.39%,"-229,752.80",Drop/Decrease
FY2028Q2,vs Avg of FY2027Q2-FY2028Q1,Overall Total,Total ARR,-93.17%,"-84,046.99",Drop/Decrease
FY2024Q2,vs Prev Q (FY2024Q1),By Bookings Type: Expansion,Total ARR,-22.90%,"-1,218,904.52",Drop/Decrease
FY2024Q2,vs Prev Q (FY2024Q1),By Bookings Type: Expansion,# of Opps,-20.58%,-162.00,Drop/Decrease
FY2024Q2,vs Prev Q (FY2024Q1),By Bookings Type: Expansion,Win Rate (Count),23.36%,11.58,Increase
FY2024Q2,vs Prev Q (FY2024Q1),By Bookings Type: Expansion,Avg Sales Cycle,44.66%,20.98,Increase
FY2024Q2,vs Prev Q (FY2024Q1),By Bookings Type: New Business,Total ARR,-28.25%,"-2,542,931.65",Drop/Decrease
FY2024Q2,vs Prev Q (FY2024Q1),By Bookings Type: New Business,# of Opps,-46.95%,-632.00,Drop/Decrease
FY2024Q2,vs Prev Q (FY2024Q1),By Bookings Type: New Business,# of Won Opps,-26.60%,-50.00,Drop/Decrease
FY2024Q2,vs Prev Q (FY2024Q1),By Bookings Type: New Business,Win Rate (Count),38.66%,5.40,Increase
FY2024Q2,vs Prev Q (FY2024Q1),By Bookings Type: New Business,Avg Sales Cycle,53.78%,26.45,Increase
FY2024Q3,vs Prev Q (FY2024Q2),By Bookings Type: Expansion,Total ARR,28.44%,"1,167,010.50",Increase
FY2024Q3,vs Prev Q (FY2024Q2),By Bookings Type: Expansion,# of Opps,29.44%,184.00,Increase
FY2024Q3,vs Prev Q (FY2024Q2),By Bookings Type: Expansion,# of Won Opps,27.44%,104.00,Increase
FY2024Q3,vs Prev Q (FY2024Q2),By Bookings Type: New Business,# of Won Opps,-20.29%,-28.00,Drop/Decrease
FY2024Q4,vs Prev Q (FY2024Q3),By Bookings Type: Expansion,Avg Sales Price,21.58%,"1,111.75",Increase
FY2024Q4,vs Prev Q (FY2024Q3),By Bookings Type: New Business,Avg Sales Price,20.50%,"1,894.52",Increase
FY2025Q1,vs Prev Q (FY2024Q4),By Bookings Type: New Business,Avg Sales Price,26.34%,"2,934.17",Increase
FY2025Q1,vs Prev Year (FY2024Q1),By Bookings Type: Expansion,Win Rate (Count),22.04%,10.92,Increase
FY2025Q1,vs Prev Year (FY2024Q1),By Bookings Type: Expansion,Avg Sales Cycle,33.92%,15.94,Increase
FY2025Q1,vs Prev Year (FY2024Q1),By Bookings Type: New Business,Total ARR,-32.84%,"-2,956,013.49",Drop/Decrease
FY2025Q1,vs Prev Year (FY2024Q1),By Bookings Type: New Business,# of Opps,-61.07%,-822.00,Drop/Decrease
FY2025Q1,vs Prev Year (FY2024Q1),By Bookings Type: New Business,# of Won Opps,-46.28%,-87.00,Drop/Decrease
FY2025Q1,vs Prev Year (FY2024Q1),By Bookings Type: New Business,Avg Sales Price,91.48%,"6,722.81",Increase
FY2025Q1,vs Prev Year (FY2024Q1),By Bookings Type: New Business,Win Rate (Count),38.69%,5.41,Increase
FY2025Q1,vs Prev Year (FY2024Q1),By Bookings Type: New Business,Avg Sales Cycle,34.55%,16.99,Increase
FY2025Q1,vs Avg of FY2024Q1-FY2024Q4,By Bookings Type: New Business,# of Opps,-37.04%,-308.25,Drop/Decrease
FY2025Q1,vs Avg of FY2024Q1-FY2024Q4,By Bookings Type: New Business,# of Won Opps,-24.77%,-33.25,Drop/Decrease
FY2025Q1,vs Avg of FY2024Q1-FY2024Q4,By Bookings Type: New Business,Avg Sales Price,56.14%,"5,059.54",Increase
FY2025Q2,vs Prev Q (FY2025Q1),By Bookings Type: New Business,Avg Sales Price,-26.85%,"-3,778.62",Drop/Decrease
FY2025Q2,vs Prev Year (FY2024Q2),By Bookings Type: Expansion,Total ARR,23.73%,"973,609.16",Increase
FY2025Q2,vs Prev Year (FY2024Q2),By Bookings Type: New Business,# of Opps,-30.25%,-216.00,Drop/Decrease
FY2025Q2,vs Prev Year (FY2024Q2),By Bookings Type: New Business,# of Won Opps,-23.19%,-32.00,Drop/Decrease
FY2025Q2,vs Prev Year (FY2024Q2),By Bookings Type: New Business,Avg Sales Price,23.73%,"1,973.87",Increase
FY2025Q2,vs Prev Year (FY2024Q2),By Bookings Type: New Business,Avg Sales Cycle,-14.05%,-10.63,Drop/Decrease
FY2025Q2,vs Avg of FY2024Q2-FY2025Q1,By Bookings Type: New Business,# of Opps,-20.54%,-128.75,Drop/Decrease
FY2025Q3,vs Prev Q (FY2025Q2),By Bookings Type: Expansion,Total ARR,25.48%,"1,293,342.63",Increase
FY2025Q3,vs Prev Q (FY2025Q2),By Bookings Type: Expansion,Win Rate (Count),-11.09%,-6.26,Drop/Decrease
FY2025Q3,vs Prev Q (FY2025Q2),By Bookings Type: Expansion,Avg Sales Cycle,19.01%,12.74,Increase
FY2025Q3,vs Prev Year (FY2024Q3),By Bookings Type: Expansion,Total ARR,20.87%,"1,099,941.29",Increase
FY2025Q3,vs Prev Year (FY2024Q3),By Bookings Type: Expansion,# of Won Opps,-26.09%,-126.00,Drop/Decrease
FY2025Q3,vs Prev Year (FY2024Q3),By Bookings Type: Expansion,Win Rate (Count),-16.73%,-10.09,Drop/Decrease
FY2025Q3,vs Prev Year (FY2024Q3),By Bookings Type: Expansion,Avg Sales Cycle,26.95%,16.93,Increase
FY2025Q3,vs Prev Year (FY2024Q3),By Bookings Type: New Business,Total ARR,-21.32%,"-1,483,847.10",Drop/Decrease
FY2025Q3,vs Prev Year (FY2024Q3),By Bookings Type: New Business,# of Opps,-27.96%,-196.00,Drop/Decrease
FY2025Q3,vs Avg of FY2024Q3-FY2025Q2,By Bookings Type: Expansion,Total ARR,21.87%,"1,143,127.08",Increase
FY2025Q3,vs Avg of FY2024Q3-FY2025Q2,By Bookings Type: Expansion,Win Rate (Count),-14.76%,-8.69,Drop/Decrease
FY2025Q3,vs Avg of FY2024Q3-FY2025Q2,By Bookings Type: Expansion,Avg Sales Cycle,21.20%,13.95,Increase
FY2025Q3,vs Avg of FY2024Q3-FY2025Q2,By Bookings Type: New Business,Avg Sales Price,-20.60%,"-2,304.87",Drop/Decrease
FY2025Q4,vs Prev Q (FY2025Q3),By Bookings Type: Expansion,Win Rate (Count),-10.16%,-5.10,Drop/Decrease
FY2025Q4,vs Prev Q (FY2025Q3),By Bookings Type: New Business,Avg Sales Price,33.89%,"3,009.65",Increase
FY2025Q4,vs Prev Q (FY2025Q3),By Bookings Type: New Business,Avg Sales Cycle,18.71%,12.05,Increase
FY2025Q4,vs Prev Year (FY2024Q4),By Bookings Type: Expansion,# of Won Opps,-27.41%,-108.00,Drop/Decrease
FY2025Q4,vs Prev Year (FY2024Q4),By Bookings Type: Expansion,Win Rate (Count),-22.72%,-13.26,Drop/Decrease
FY2025Q4,vs Prev Year (FY2024Q4),By Bookings Type: New Business,Win Rate (Count),30.99%,5.55,Increase
FY2025Q4,vs Avg of FY2024Q4-FY2025Q3,By Bookings Type: Expansion,# of Won Opps,-25.52%,-98.00,Drop/Decrease
FY2025Q4,vs Avg of FY2024Q4-FY2025Q3,By Bookings Type: Expansion,Win Rate (Count),-19.99%,-11.27,Drop/Decrease
FY2026Q1,vs Prev Q (FY2025Q4),By Bookings Type: Expansion,Avg Sales Cycle,-24.11%,-18.68,Drop/Decrease
FY2026Q1,vs Prev Q (FY2025Q4),By Bookings Type: New Business,Total ARR,45.00%,"2,553,370.31",Increase
FY2026Q1,vs Prev Q (FY2025Q4),By Bookings Type: New Business,# of Opps,45.59%,222.00,Increase
FY2026Q1,vs Prev Q (FY2025Q4),By Bookings Type: New Business,Win Rate (Count),-43.24%,-10.14,Drop/Decrease
FY2026Q1,vs Prev Q (FY2025Q4),By Bookings Type: New Business,Avg Sales Cycle,-27.90%,-21.33,Drop/Decrease
FY2026Q1,vs Prev Year (FY2025Q1),By Bookings Type: Expansion,Total ARR,23.83%,"1,193,373.87",Increase
FY2026Q1,vs Prev Year (FY2025Q1),By Bookings Type: Expansion,# of Won Opps,-21.22%,-87.00,Drop/Decrease
FY2026Q1,vs Prev Year (FY2025Q1),By Bookings Type: Expansion,Avg Sales Price,21.96%,"1,102.43",Increase
FY2026Q1,vs Prev Year (FY2025Q1),By Bookings Type: Expansion,Win Rate (Count),-24.56%,-14.85,Drop/Decrease
FY2026Q1,vs Prev Year (FY2025Q1),By Bookings Type: New Business,Total ARR,36.10%,"2,182,310.66",Increase
FY2026Q1,vs Prev Year (FY2025Q1),By Bookings Type: New Business,# of Opps,35.31%,185.00,Increase
FY2026Q1,vs Prev Year (FY2025Q1),By Bookings Type: New Business,Win Rate (Count),-31.32%,-6.07,Drop/Decrease
FY2026Q1,vs Prev Year (FY2025Q1),By Bookings Type: New Business,Avg Sales Cycle,-16.70%,-11.05,Drop/Decrease
FY2026Q1,vs Avg of FY2025Q1-FY2025Q4,By Bookings Type: Expansion,Win Rate (Count),-14.03%,-7.45,Drop/Decrease
FY2026Q1,vs Avg of FY2025Q1-FY2025Q4,By Bookings Type: Expansion,Avg Sales Cycle,-18.11%,-13.00,Drop/Decrease
FY2026Q1,vs Avg of FY2025Q1-FY2025Q4,By Bookings Type: New Business,Total ARR,41.93%,"2,430,789.16",Increase
FY2026Q1,vs Avg of FY2025Q1-FY2025Q4,By Bookings Type: New Business,# of Opps,40.81%,205.50,Increase
FY2026Q1,vs Avg of FY2025Q1-FY2025Q4,By Bookings Type: New Business,Win Rate (Count),-36.49%,-7.65,Drop/Decrease
FY2026Q1,vs Avg of FY2025Q1-FY2025Q4,By Bookings Type: New Business,Avg Sales Cycle,-18.94%,-12.88,Drop/Decrease
FY2026Q2,vs Prev Q (FY2026Q1),By Bookings Type: Expansion,# of Won Opps,-31.27%,-101.00,Drop/Decrease
FY2026Q2,vs Prev Q (FY2026Q1),By Bookings Type: New Business,Avg Sales Price,-43.11%,"-5,328.51",Drop/Decrease
FY2026Q2,vs Prev Q (FY2026Q1),By Bookings Type: New Business,Avg Sales Cycle,26.27%,14.48,Increase
