Quarter,Comparison_Type,Group,Metric,Current_Value,Comparison_Value,Absolute_Change,Percent_Change,Direction
FY2023Q2,QoQ vs FY2023Q1,Overall Total,Total ARR,3169395.31,4433946.12,-1264550.81,-28.51976040701189,Decrease
FY2023Q2,QoQ vs FY2023Q1,Overall Total,Won ARR,3169395.31,4433946.12,-1264550.81,-28.51976040701189,Decrease
FY2023Q2,QoQ vs FY2023Q1,SMB,# of Opps,1128.0,1231.0,-103.0,-8.367181153533712,Decrease
FY2023Q2,QoQ vs FY2023Q1,SMB,# of Won Opps,320.0,413.0,-93.0,-22.518159806295397,Decrease
FY2023Q2,QoQ vs FY2023Q1,SMB,Avg Sales Cycle,34.2875,28.300242130750604,5.987257869249397,21.15620722108146,Increase
FY2023Q2,QoQ vs FY2023Q1,SMB,Avg Sales Price,2487.45834375,3075.467699757869,-588.009356007869,-19.11934747531775,Decrease
FY2023Q2,QoQ vs FY2023Q1,SMB,Total ARR,795986.67,1270168.16,-474181.4899999999,-37.33218206320019,Decrease
FY2023Q2,QoQ vs FY2023Q1,SMB,Win Rate (Count),28.368794326241137,33.549959382615754,-5.181165056374617,-15.443133618395047,Decrease
FY2023Q2,QoQ vs FY2023Q1,SMB,Won ARR,795986.67,1270168.16,-474181.4899999999,-37.33218206320019,Decrease
FY2023Q2,QoQ vs FY2023Q1,SMB - Expansion,# of Opps,271.0,328.0,-57.0,-17.378048780487802,Decrease
FY2023Q2,QoQ vs FY2023Q1,SMB - Expansion,# of Won Opps,155.0,211.0,-56.0,-26.540284360189574,Decrease
FY2023Q2,QoQ vs FY2023Q1,SMB - Expansion,Avg Sales Cycle,29.548387096774192,20.38388625592417,9.164500840850021,44.95953679189385,Increase
FY2023Q2,QoQ vs FY2023Q1,SMB - Expansion,Avg Sales Price,2927.1399354838704,3547.0450236966826,-619.9050882128122,-17.47666251968675,Decrease
FY2023Q2,QoQ vs FY2023Q1,SMB - Expansion,Total ARR,453706.69,748426.5,-294719.81,-39.37859095048077,Decrease
FY2023Q2,QoQ vs FY2023Q1,SMB - Expansion,Win Rate (Count),57.19557195571956,64.32926829268293,-7.133696336963368,-11.089347860303246,Decrease
FY2023Q2,QoQ vs FY2023Q1,SMB - Expansion,Won ARR,453706.68999999994,748426.5,-294719.81000000006,-39.378590950480785,Decrease
FY2023Q2,QoQ vs FY2023Q1,SMB - New Business,# of Opps,857.0,903.0,-46.0,-5.094130675526024,Decrease
FY2023Q2,QoQ vs FY2023Q1,SMB - New Business,# of Won Opps,165.0,202.0,-37.0,-18.316831683168317,Decrease
FY2023Q2,QoQ vs FY2023Q1,SMB - New Business,Avg Sales Price,2074.4241212121215,2582.879504950495,-508.4553837383737,-19.68560216470954,Decrease
FY2023Q2,QoQ vs FY2023Q1,SMB - New Business,Total ARR,342279.98,521741.66,-179461.68,-34.39665523354988,Decrease
FY2023Q2,QoQ vs FY2023Q1,SMB - New Business,Won ARR,342279.98000000004,521741.66000000003,-179461.68,-34.39665523354987,Decrease
FY2023Q3,QoQ vs FY2023Q2,Enterprise,# of Opps,823.0,733.0,90.0,12.278308321964529,Increase
FY2023Q3,QoQ vs FY2023Q2,Enterprise,# of Won Opps,208.0,229.0,-21.0,-9.170305676855897,Decrease
FY2023Q3,QoQ vs FY2023Q2,Enterprise,Avg Sales Cycle,84.01442307692308,67.41048034934498,16.6039427275781,24.63109985499375,Increase
FY2023Q3,QoQ vs FY2023Q2,Enterprise,Total ARR,1170262.12,1263161.66,-92899.5399999998,-7.354524994053399,Decrease
FY2023Q3,QoQ vs FY2023Q2,Enterprise,Win Rate (Count),25.273390036452003,31.241473396998636,-5.968083360546633,-19.103079053627432,Decrease
FY2023Q3,QoQ vs FY2023Q2,Enterprise,Won ARR,1170262.12,1263161.66,-92899.5399999998,-7.354524994053399,Decrease
FY2023Q3,QoQ vs FY2023Q2,Enterprise - Expansion,# of Opps,392.0,383.0,9.0,2.3498694516971277,Increase
FY2023Q3,QoQ vs FY2023Q2,Enterprise - Expansion,# of Won Opps,166.0,185.0,-19.0,-10.27027027027027,Decrease
FY2023Q3,QoQ vs FY2023Q2,Enterprise - Expansion,Avg Sales Cycle,77.98192771084338,59.38918918918919,18.59273852165419,31.30660440981183,Increase
FY2023Q3,QoQ vs FY2023Q2,Enterprise - Expansion,Total ARR,1010971.72,1161174.2,-150202.47999999998,-12.935395912172352,Decrease
FY2023Q3,QoQ vs FY2023Q2,Enterprise - Expansion,Win Rate (Count),42.3469387755102,48.30287206266319,-5.9559332871529875,-12.330391616105913,Decrease
FY2023Q3,QoQ vs FY2023Q2,Enterprise - Expansion,Won ARR,1010971.72,1161174.2,-150202.47999999998,-12.935395912172352,Decrease
FY2023Q3,QoQ vs FY2023Q2,Enterprise - New Business,# of Opps,431.0,350.0,81.0,23.142857142857142,Increase
FY2023Q3,QoQ vs FY2023Q2,Enterprise - New Business,Avg Sales Price,3792.6285714285714,2317.896818181818,1474.7317532467532,63.623701524537566,Increase
FY2023Q3,QoQ vs FY2023Q2,Enterprise - New Business,Total ARR,159290.4,101987.46,57302.93999999999,56.186260546149484,Increase
FY2023Q3,QoQ vs FY2023Q2,Enterprise - New Business,Won ARR,159290.4,101987.45999999999,57302.94,56.186260546149505,Increase
FY2023Q3,QoQ vs FY2023Q2,Expansion,# of Opps,1066.0,1013.0,53.0,5.231984205330701,Increase
FY2023Q3,QoQ vs FY2023Q2,Expansion,# of Won Opps,495.0,527.0,-32.0,-6.072106261859583,Decrease
FY2023Q3,QoQ vs FY2023Q2,Expansion,Total ARR,2226258.14,2617570.55,-391312.4099999997,-14.949450359609207,Decrease
FY2023Q3,QoQ vs FY2023Q2,Expansion,Win Rate (Count),46.43527204502814,52.02369200394866,-5.588419958920518,-10.742067207564489,Decrease
FY2023Q3,QoQ vs FY2023Q2,Expansion,Won ARR,2226258.1399999997,2617570.55,-391312.41000000015,-14.949450359609227,Decrease
FY2023Q3,QoQ vs FY2023Q2,Mid Market,# of Opps,877.0,797.0,80.0,10.037641154328734,Increase
FY2023Q3,QoQ vs FY2023Q2,Mid Market,# of Won Opps,266.0,247.0,19.0,7.6923076923076925,Increase
FY2023Q3,QoQ vs FY2023Q2,Mid Market,Avg Sales Price,3262.4079699248123,4494.927044534413,-1232.5190746096005,-27.42022423051953,Decrease
FY2023Q3,QoQ vs FY2023Q2,Mid Market,Total ARR,867800.52,1110246.98,-242446.45999999996,-21.837164555944117,Decrease
FY2023Q3,QoQ vs FY2023Q2,Mid Market,Won ARR,867800.52,1110246.98,-242446.45999999996,-21.837164555944117,Decrease
FY2023Q3,QoQ vs FY2023Q2,Mid Market - Expansion,# of Opps,387.0,359.0,28.0,7.7994428969359335,Increase
FY2023Q3,QoQ vs FY2023Q2,Mid Market - Expansion,Avg Sales Cycle,47.51912568306011,41.32085561497326,6.198270068086849,15.00034298864036,Increase
FY2023Q3,QoQ vs FY2023Q2,Mid Market - Expansion,Avg Sales Price,3946.981092896175,5361.97679144385,-1414.9956985476747,-26.38944093912519,Decrease
FY2023Q3,QoQ vs FY2023Q2,Mid Market - Expansion,Total ARR,722297.54,1002689.66,-280392.12,-27.963998352192043,Decrease
FY2023Q3,QoQ vs FY2023Q2,Mid Market - Expansion,Won ARR,722297.54,1002689.6599999999,-280392.1199999999,-27.963998352192032,Decrease
FY2023Q3,QoQ vs FY2023Q2,Mid Market - New Business,# of Opps,490.0,438.0,52.0,11.87214611872146,Increase
FY2023Q3,QoQ vs FY2023Q2,Mid Market - New Business,# of Won Opps,83.0,60.0,23.0,38.333333333333336,Increase
FY2023Q3,QoQ vs FY2023Q2,Mid Market - New Business,Avg Sales Cycle,63.3855421686747,78.06666666666666,-14.681124497991966,-18.805881081970924,Decrease
FY2023Q3,QoQ vs FY2023Q2,Mid Market - New Business,Total ARR,145502.98,107557.32,37945.66,35.27947702676117,Increase
FY2023Q3,QoQ vs FY2023Q2,Mid Market - New Business,Won ARR,145502.97999999998,107557.32,37945.659999999974,35.27947702676115,Increase
FY2023Q3,QoQ vs FY2023Q2,New Business,# of Opps,1820.0,1645.0,175.0,10.638297872340425,Increase
FY2023Q3,QoQ vs FY2023Q2,New Business,# of Won Opps,309.0,269.0,40.0,14.869888475836431,Increase
FY2023Q3,QoQ vs FY2023Q2,New Business,Avg Sales Cycle,48.46601941747573,57.71747211895911,-9.25145270148338,-16.028859826735985,Decrease
FY2023Q3,QoQ vs FY2023Q2,New Business,Total ARR,646338.48,551824.76,94513.71999999997,17.127488081542403,Increase
FY2023Q3,QoQ vs FY2023Q2,New Business,Won ARR,646338.48,551824.76,94513.71999999997,17.127488081542403,Increase
FY2023Q3,QoQ vs FY2023Q2,Overall Inquarter,# of Opps,1577.0,1220.0,357.0,29.262295081967217,Increase
FY2023Q3,QoQ vs FY2023Q2,Overall Inquarter,# of Won Opps,557.0,473.0,84.0,17.758985200845668,Increase
FY2023Q3,QoQ vs FY2023Q2,Overall Inquarter,Avg Sales Price,2723.34565529623,3704.4546934460886,-981.1090381498589,-26.484573826361927,Decrease
FY2023Q3,QoQ vs FY2023Q2,Overall Inquarter,Total ARR,1516903.53,1752207.07,-235303.54000000004,-13.428980171846927,Decrease
FY2023Q3,QoQ vs FY2023Q2,Overall Inquarter,Won ARR,1516903.53,1752207.0699999998,-235303.5399999998,-13.428980171846916,Decrease
FY2023Q3,QoQ vs FY2023Q2,Overall Total,# of Opps,2886.0,2658.0,228.0,8.577878103837472,Increase
FY2023Q3,QoQ vs FY2023Q2,Overall Total,# of Won Opps,804.0,796.0,8.0,1.0050251256281406,Increase
FY2023Q3,QoQ vs FY2023Q2,Overall Total,Total ARR,2872596.62,3169395.31,-296798.68999999994,-9.364521019626295,Decrease
FY2023Q3,QoQ vs FY2023Q2,Overall Total,Won ARR,2872596.62,3169395.31,-296798.68999999994,-9.364521019626295,Decrease
FY2023Q3,QoQ vs FY2023Q2,SMB,# of Opps,1186.0,1128.0,58.0,5.141843971631205,Increase
FY2023Q3,QoQ vs FY2023Q2,SMB,# of Won Opps,330.0,320.0,10.0,3.125,Increase
FY2023Q3,QoQ vs FY2023Q2,SMB,Avg Sales Cycle,23.875757575757575,34.2875,-10.411742424242426,-30.36600050818061,Decrease
FY2023Q3,QoQ vs FY2023Q2,SMB - Expansion,# of Opps,287.0,271.0,16.0,5.904059040590406,Increase
FY2023Q3,QoQ vs FY2023Q2,SMB - Expansion,# of Won Opps,146.0,155.0,-9.0,-5.806451612903226,Decrease
FY2023Q3,QoQ vs FY2023Q2,SMB - Expansion,Avg Sales Cycle,18.45205479452055,29.548387096774192,-11.096332302253643,-37.55308966919901,Decrease
FY2023Q3,QoQ vs FY2023Q2,SMB - Expansion,Win Rate (Count),50.87108013937283,57.19557195571956,-6.324491816346729,-11.057659885354603,Decrease
FY2023Q3,QoQ vs FY2023Q2,SMB - New Business,# of Opps,899.0,857.0,42.0,4.900816802800467,Increase
FY2023Q3,QoQ vs FY2023Q2,SMB - New Business,# of Won Opps,184.0,165.0,19.0,11.515151515151516,Increase
FY2023Q3,QoQ vs FY2023Q2,SMB - New Business,Avg Sales Cycle,28.179347826086957,38.73939393939394,-10.560046113306985,-27.259192876965777,Decrease
FY2023Q4,QoQ vs FY2023Q3,Enterprise,# of Opps,666.0,823.0,-157.0,-19.07654921020656,Decrease
FY2023Q4,QoQ vs FY2023Q3,Enterprise,# of Won Opps,190.0,208.0,-18.0,-8.653846153846153,Decrease
FY2023Q4,QoQ vs FY2023Q3,Enterprise,Avg Sales Cycle,63.863157894736844,84.01442307692308,-20.151265182186236,-23.985483020856865,Decrease
FY2023Q4,QoQ vs FY2023Q3,Enterprise,Won ARR,1046613.14,1170262.12,-123648.9800000001,-10.565921761186296,Decrease
FY2023Q4,QoQ vs FY2023Q3,Enterprise - Expansion,# of Opps,337.0,392.0,-55.0,-14.030612244897958,Decrease
FY2023Q4,QoQ vs FY2023Q3,Enterprise - Expansion,# of Won Opps,158.0,166.0,-8.0,-4.819277108433735,Decrease
FY2023Q4,QoQ vs FY2023Q3,Enterprise - Expansion,Avg Sales Cycle,65.60126582278481,77.98192771084338,-12.380661888058569,-15.876321926749496,Decrease
FY2023Q4,QoQ vs FY2023Q3,Enterprise - Expansion,Avg Sales Price,5435.362911392405,6090.191084337349,-654.8281729449436,-10.75217778681887,Decrease
FY2023Q4,QoQ vs FY2023Q3,Enterprise - Expansion,Total ARR,858787.34,1010971.72,-152184.38,-15.053277652514357,Decrease
FY2023Q4,QoQ vs FY2023Q3,Enterprise - Expansion,Won ARR,858787.34,1010971.72,-152184.38,-15.053277652514357,Decrease
FY2023Q4,QoQ vs FY2023Q3,Enterprise - New Business,# of Opps,329.0,431.0,-102.0,-23.665893271461716,Decrease
FY2023Q4,QoQ vs FY2023Q3,Enterprise - New Business,# of Won Opps,32.0,42.0,-10.0,-23.809523809523807,Decrease
FY2023Q4,QoQ vs FY2023Q3,Enterprise - New Business,Avg Sales Cycle,55.28125,107.85714285714286,-52.57589285714286,-48.74586092715232,Decrease
FY2023Q4,QoQ vs FY2023Q3,Enterprise - New Business,Avg Sales Price,5869.556250000001,3792.6285714285714,2076.927678571429,54.76222201714606,Increase
FY2023Q4,QoQ vs FY2023Q3,Enterprise - New Business,Total ARR,265243.64,159290.4,105953.24000000002,66.5157724508194,Increase
FY2023Q4,QoQ vs FY2023Q3,Expansion,# of Opps,887.0,1066.0,-179.0,-16.79174484052533,Decrease
FY2023Q4,QoQ vs FY2023Q3,Expansion,# of Won Opps,403.0,495.0,-92.0,-18.585858585858585,Decrease
FY2023Q4,QoQ vs FY2023Q3,Expansion,Total ARR,1878200.16,2226258.14,-348057.9800000002,-15.634214817514389,Decrease
FY2023Q4,QoQ vs FY2023Q3,Expansion,Won ARR,1873216.3399999999,2226258.1399999997,-353041.7999999998,-15.858080141595792,Decrease
FY2023Q4,QoQ vs FY2023Q3,Mid Market,# of Opps,717.0,877.0,-160.0,-18.244013683010262,Decrease
FY2023Q4,QoQ vs FY2023Q3,Mid Market,# of Won Opps,179.0,266.0,-87.0,-32.70676691729324,Decrease
FY2023Q4,QoQ vs FY2023Q3,Mid Market,Avg Sales Price,4224.267318435754,3262.4079699248123,961.8593485109413,29.483110554475168,Increase
FY2023Q4,QoQ vs FY2023Q3,Mid Market,Total ARR,776324.87,867800.52,-91475.65000000002,-10.541091862908774,Decrease
FY2023Q4,QoQ vs FY2023Q3,Mid Market,Win Rate (Count),24.965132496513252,30.33067274800456,-5.365540251491307,-17.690145866758936,Decrease
FY2023Q4,QoQ vs FY2023Q3,Mid Market,Won ARR,756143.85,867800.52,-111656.67000000004,-12.866628611838127,Decrease
FY2023Q4,QoQ vs FY2023Q3,Mid Market - Expansion,# of Opps,330.0,387.0,-57.0,-14.728682170542637,Decrease
FY2023Q4,QoQ vs FY2023Q3,Mid Market - Expansion,# of Won Opps,129.0,183.0,-54.0,-29.508196721311474,Decrease
FY2023Q4,QoQ vs FY2023Q3,Mid Market - Expansion,Avg Sales Price,5430.101162790698,3946.981092896175,1483.120069894523,37.57606218494081,Increase
FY2023Q4,QoQ vs FY2023Q3,Mid Market - Expansion,Win Rate (Count),39.09090909090909,47.286821705426355,-8.195912614517262,-17.332339791356176,Decrease
FY2023Q4,QoQ vs FY2023Q3,Mid Market - New Business,# of Opps,387.0,490.0,-103.0,-21.020408163265305,Decrease
FY2023Q4,QoQ vs FY2023Q3,Mid Market - New Business,# of Won Opps,50.0,83.0,-33.0,-39.75903614457831,Decrease
FY2023Q4,QoQ vs FY2023Q3,Mid Market - New Business,Avg Sales Price,1113.2160000000001,1753.0479518072286,-639.8319518072285,-36.49825728655178,Decrease
FY2023Q4,QoQ vs FY2023Q3,Mid Market - New Business,Total ARR,70858.0,145502.98,-74644.98000000001,-51.30134104469888,Decrease
FY2023Q4,QoQ vs FY2023Q3,Mid Market - New Business,Won ARR,55660.8,145502.97999999998,-89842.17999999998,-61.74593812442879,Decrease
FY2023Q4,QoQ vs FY2023Q3,New Business,# of Opps,1450.0,1820.0,-370.0,-20.32967032967033,Decrease
FY2023Q4,QoQ vs FY2023Q3,New Business,# of Won Opps,235.0,309.0,-74.0,-23.948220064724918,Decrease
FY2023Q4,QoQ vs FY2023Q3,New Business,Total ARR,509149.77,646338.48,-137188.70999999996,-21.22552103040499,Decrease
FY2023Q4,QoQ vs FY2023Q3,New Business,Won ARR,411169.29000000004,646338.48,-235169.18999999994,-36.384835078982135,Decrease
FY2023Q4,QoQ vs FY2023Q3,Overall Inquarter,# of Opps,1164.0,1577.0,-413.0,-26.188966391883323,Decrease
FY2023Q4,QoQ vs FY2023Q3,Overall Inquarter,# of Won Opps,401.0,557.0,-156.0,-28.007181328545784,Decrease
FY2023Q4,QoQ vs FY2023Q3,Overall Inquarter,Total ARR,1247904.31,1516903.53,-268999.22,-17.733442811620325,Decrease
FY2023Q4,QoQ vs FY2023Q3,Overall Inquarter,Won ARR,1150305.45,1516903.53,-366598.0800000001,-24.167527647588773,Decrease
FY2023Q4,QoQ vs FY2023Q3,Overall Total,# of Opps,2337.0,2886.0,-549.0,-19.022869022869024,Decrease
FY2023Q4,QoQ vs FY2023Q3,Overall Total,# of Won Opps,638.0,804.0,-166.0,-20.64676616915423,Decrease
FY2023Q4,QoQ vs FY2023Q3,Overall Total,Total ARR,2387349.93,2872596.62,-485246.68999999994,-16.89226696924819,Decrease
FY2023Q4,QoQ vs FY2023Q3,Overall Total,Won ARR,2284385.63,2872596.62,-588210.9900000002,-20.476630303909506,Decrease
FY2023Q4,QoQ vs FY2023Q3,SMB,# of Opps,954.0,1186.0,-232.0,-19.561551433389546,Decrease
FY2023Q4,QoQ vs FY2023Q3,SMB,# of Won Opps,269.0,330.0,-61.0,-18.484848484848484,Decrease
FY2023Q4,QoQ vs FY2023Q3,SMB,Avg Sales Cycle,34.09293680297398,23.875757575757575,10.217179227216405,42.79311010256903,Increase
FY2023Q4,QoQ vs FY2023Q3,SMB,Avg Sales Price,1790.4410408921933,2528.8908484848484,-738.4498075926551,-29.200540942092758,Decrease
FY2023Q4,QoQ vs FY2023Q3,SMB,Total ARR,486994.08,834533.98,-347539.89999999997,-41.64478719009141,Decrease
FY2023Q4,QoQ vs FY2023Q3,SMB,Won ARR,481628.64,834533.98,-352905.33999999997,-42.28771367703924,Decrease
FY2023Q4,QoQ vs FY2023Q3,SMB - Expansion,# of Opps,220.0,287.0,-67.0,-23.34494773519164,Decrease
FY2023Q4,QoQ vs FY2023Q3,SMB - Expansion,# of Won Opps,116.0,146.0,-30.0,-20.54794520547945,Decrease
FY2023Q4,QoQ vs FY2023Q3,SMB - Expansion,Avg Sales Cycle,23.74137931034483,18.45205479452055,5.28932451582428,28.66523308501651,Increase
FY2023Q4,QoQ vs FY2023Q3,SMB - Expansion,Avg Sales Price,2706.430603448276,3376.6361643835617,-670.2055609352856,-19.84832029001378,Decrease
FY2023Q4,QoQ vs FY2023Q3,SMB - Expansion,Total ARR,313945.95,492988.88,-179042.93,-36.31784351809315,Decrease
FY2023Q4,QoQ vs FY2023Q3,SMB - Expansion,Won ARR,313945.95,492988.88,-179042.93,-36.31784351809315,Decrease
FY2023Q4,QoQ vs FY2023Q3,SMB - New Business,# of Opps,734.0,899.0,-165.0,-18.35372636262514,Decrease
FY2023Q4,QoQ vs FY2023Q3,SMB - New Business,# of Won Opps,153.0,184.0,-31.0,-16.847826086956523,Decrease
FY2023Q4,QoQ vs FY2023Q3,SMB - New Business,Avg Sales Cycle,41.94117647058823,28.179347826086957,13.761828644501275,48.8365760962051,Increase
FY2023Q4,QoQ vs FY2023Q3,SMB - New Business,Avg Sales Price,1095.965294117647,1856.2233695652176,-760.2580754475705,-40.957251584740334,Decrease
FY2023Q4,QoQ vs FY2023Q3,SMB - New Business,Total ARR,173048.13,341545.1,-168496.96999999997,-49.33373952663938,Decrease
FY2023Q4,QoQ vs FY2023Q3,SMB - New Business,Won ARR,167682.69,341545.10000000003,-173862.41000000003,-50.90467115470256,Decrease
