Quarter,Comparison,Group,Metric,Type,% Change,Abs Change,Metric Type,Current Value,Comparison Value
FY2023Q3,vs Prev Q (FY2023Q2),Overall Inquarter,Win Rate (Count),Drop/Decrease,-9.61%,-3.72158476735423,Percentage,35.006273525721454,38.727858293075684
FY2023Q3,vs Prev Q (FY2023Q2),Overall Inquarter,Avg Sales Cycle,Increase,1.62%,0.25985290501419556,Days,16.311827956989248,16.051975051975052
FY2023Q3,vs Prev Q (FY2023Q2),Overall Inquarter,Pipegen ARR,No Change,0.00%,0.0,ARR,0.0,0.0
FY2023Q3,vs Prev Q (FY2023Q2),Overall Inquarter,# of Pipegen Opps,No Change,0.00%,0.0,Count,0.0,0.0
FY2023Q4,vs Prev Q (FY2023Q3),Overall Inquarter,Total ARR,Drop/Decrease,-19.12%,-296631.22,ARR,1254888.31,1551519.53
FY2023Q4,vs Prev Q (FY2023Q3),Overall Inquarter,# of Opps,Drop/Decrease,-23.69%,-379.0,Count,1221.0,1600.0
FY2023Q4,vs Prev Q (FY2023Q3),Overall Inquarter,# of Won Opps,Drop/Decrease,-21.86%,-122.0,Count,436.0,558.0
FY2023Q4,vs Prev Q (FY2023Q3),Overall Inquarter,Won ARR,Drop/Decrease,-24.33%,-371230.07999999984,ARR,1154289.45,1525519.5299999998
FY2023Q4,vs Prev Q (FY2023Q3),Overall Inquarter,Avg Sales Price,Drop/Decrease,-3.16%,-86.45310076945816,Currency,2647.452866972477,2733.905967741935
FY2023Q4,vs Prev Q (FY2023Q3),Overall Inquarter,Win Rate (Count),Increase,2.01%,0.7021621827142539,Percentage,35.70843570843571,35.006273525721454
FY2023Q4,vs Prev Q (FY2023Q3),Overall Inquarter,Avg Sales Cycle,Increase,17.69%,2.8854197494327707,Days,19.19724770642202,16.311827956989248
FY2023Q4,vs Prev Q (FY2023Q3),Overall Inquarter,Pipegen ARR,No Change,0.00%,0.0,ARR,0.0,0.0
FY2023Q4,vs Prev Q (FY2023Q3),Overall Inquarter,# of Pipegen Opps,No Change,0.00%,0.0,Count,0.0,0.0
FY2024Q1,vs Prev Q (FY2023Q4),Overall Inquarter,Total ARR,Increase,330.29%,4144715.5399999996,ARR,5399603.85,1254888.31
FY2024Q1,vs Prev Q (FY2023Q4),Overall Inquarter,# of Opps,Drop/Decrease,-22.69%,-277.0,Count,944.0,1221.0
FY2024Q1,vs Prev Q (FY2023Q4),Overall Inquarter,# of Won Opps,Drop/Decrease,-25.00%,-109.0,Count,327.0,436.0
FY2024Q1,vs Prev Q (FY2023Q4),Overall Inquarter,Won ARR,Increase,46.22%,533549.7,ARR,1687839.15,1154289.45
FY2024Q1,vs Prev Q (FY2023Q4),Overall Inquarter,Avg Sales Price,Increase,94.96%,2514.134747706422,Currency,5161.587614678899,2647.452866972477
FY2024Q1,vs Prev Q (FY2023Q4),Overall Inquarter,Win Rate (Count),Drop/Decrease,-2.68%,-0.958170033621677,Percentage,34.75026567481403,35.70843570843571
FY2024Q1,vs Prev Q (FY2023Q4),Overall Inquarter,Avg Sales Cycle,Drop/Decrease,-24.03%,-4.613149847094801,Days,14.584097859327217,19.19724770642202
FY2024Q1,vs Prev Q (FY2023Q4),Overall Inquarter,Pipegen ARR,Increase,0.00%,27834993.46,ARR,27834993.46,0.0
FY2024Q1,vs Prev Q (FY2023Q4),Overall Inquarter,# of Pipegen Opps,Increase,0.00%,1871.0,Count,1871.0,0.0
FY2024Q1,vs Prev Year (FY2023Q1),Overall Inquarter,Total ARR,Increase,107.36%,2795652.8,ARR,5399603.85,2603951.05
FY2024Q1,vs Prev Year (FY2023Q1),Overall Inquarter,# of Opps,Drop/Decrease,-36.39%,-540.0,Count,944.0,1484.0
FY2024Q1,vs Prev Year (FY2023Q1),Overall Inquarter,# of Won Opps,Drop/Decrease,-50.60%,-335.0,Count,327.0,662.0
FY2024Q1,vs Prev Year (FY2023Q1),Overall Inquarter,Won ARR,Drop/Decrease,-35.18%,-916111.8999999999,ARR,1687839.15,2603951.05
FY2024Q1,vs Prev Year (FY2023Q1),Overall Inquarter,Avg Sales Price,Increase,31.22%,1228.1268140746693,Currency,5161.587614678899,3933.4608006042295
FY2024Q1,vs Prev Year (FY2023Q1),Overall Inquarter,Win Rate (Count),Drop/Decrease,-22.15%,-9.888979099292506,Percentage,34.75026567481403,44.63924477410654
FY2024Q1,vs Prev Year (FY2023Q1),Overall Inquarter,Avg Sales Cycle,Increase,9.23%,1.232134113103653,Days,14.584097859327217,13.351963746223564
FY2024Q1,vs Prev Year (FY2023Q1),Overall Inquarter,Pipegen ARR,Increase,0.00%,27834993.46,ARR,27834993.46,0.0
FY2024Q1,vs Prev Year (FY2023Q1),Overall Inquarter,# of Pipegen Opps,Increase,0.00%,1871.0,Count,1871.0,0.0
FY2024Q1,vs Avg of FY2023Q1-FY2023Q4,Overall Inquarter,Total ARR,Increase,201.14%,3606529.51,ARR,5399603.85,1793074.3399999999
FY2024Q1,vs Avg of FY2023Q1-FY2023Q4,Overall Inquarter,# of Opps,Drop/Decrease,-31.94%,-443.0,Count,944.0,1387.0
FY2024Q1,vs Avg of FY2023Q1-FY2023Q4,Overall Inquarter,# of Won Opps,Drop/Decrease,-38.79%,-207.25,Count,327.0,534.25
FY2024Q1,vs Avg of FY2023Q1-FY2023Q4,Overall Inquarter,Won ARR,Drop/Decrease,-4.14%,-72835.47499999986,ARR,1687839.15,1760674.6249999998
FY2024Q1,vs Avg of FY2023Q1-FY2023Q4,Overall Inquarter,Avg Sales Price,Increase,59.17%,1918.6735218575545,Currency,5161.587614678899,3242.914092821344
FY2024Q1,vs Avg of FY2023Q1-FY2023Q4,Overall Inquarter,Win Rate (Count),Drop/Decrease,-9.79%,-3.7701874005208182,Percentage,34.75026567481403,38.52045307533485
FY2024Q1,vs Avg of FY2023Q1-FY2023Q4,Overall Inquarter,Avg Sales Cycle,Drop/Decrease,-10.13%,-1.6441557560752553,Days,14.584097859327217,16.228253615402473
FY2024Q1,vs Avg of FY2023Q1-FY2023Q4,Overall Inquarter,Pipegen ARR,Increase,0.00%,27834993.46,ARR,27834993.46,0.0
FY2024Q1,vs Avg of FY2023Q1-FY2023Q4,Overall Inquarter,# of Pipegen Opps,Increase,0.00%,1871.0,Count,1871.0,0.0
FY2024Q2,vs Prev Q (FY2024Q1),Overall Inquarter,Total ARR,Drop/Decrease,-20.69%,-1116993.9299999997,ARR,4282609.92,5399603.85
FY2024Q2,vs Prev Q (FY2024Q1),Overall Inquarter,# of Opps,Drop/Decrease,-31.36%,-296.0,Count,648.0,944.0
FY2024Q2,vs Prev Q (FY2024Q1),Overall Inquarter,# of Won Opps,Drop/Decrease,-15.29%,-50.0,Count,277.0,327.0
FY2024Q2,vs Prev Q (FY2024Q1),Overall Inquarter,Won ARR,Drop/Decrease,-13.42%,-226471.07999999984,ARR,1461368.07,1687839.15
FY2024Q2,vs Prev Q (FY2024Q1),Overall Inquarter,Avg Sales Price,Increase,2.21%,114.10938893120965,Currency,5275.697003610108,5161.587614678899
FY2024Q2,vs Prev Q (FY2024Q1),Overall Inquarter,Win Rate (Count),Increase,23.58%,8.195470759294494,Percentage,42.945736434108525,34.75026567481403
FY2024Q2,vs Prev Q (FY2024Q1),Overall Inquarter,Avg Sales Cycle,Increase,31.52%,4.596407555835237,Days,19.180505415162454,14.584097859327217
FY2024Q2,vs Prev Q (FY2024Q1),Overall Inquarter,Pipegen ARR,Drop/Decrease,-18.69%,-5203599.109999999,ARR,22631394.35,27834993.46
FY2024Q2,vs Prev Q (FY2024Q1),Overall Inquarter,# of Pipegen Opps,Drop/Decrease,-22.45%,-420.0,Count,1451.0,1871.0
FY2024Q2,vs Prev Year (FY2023Q2),Overall Inquarter,Total ARR,Increase,143.06%,2520671.45,ARR,4282609.92,1761938.47
FY2024Q2,vs Prev Year (FY2023Q2),Overall Inquarter,# of Opps,Drop/Decrease,-47.87%,-595.0,Count,648.0,1243.0
FY2024Q2,vs Prev Year (FY2023Q2),Overall Inquarter,# of Won Opps,Drop/Decrease,-42.41%,-204.0,Count,277.0,481.0
FY2024Q2,vs Prev Year (FY2023Q2),Overall Inquarter,Won ARR,Drop/Decrease,-16.92%,-297570.3999999999,ARR,1461368.07,1758938.47
FY2024Q2,vs Prev Year (FY2023Q2),Overall Inquarter,Avg Sales Price,Increase,44.27%,1618.8602676433725,Currency,5275.697003610108,3656.836735966736
FY2024Q2,vs Prev Year (FY2023Q2),Overall Inquarter,Win Rate (Count),Increase,10.89%,4.217878141032841,Percentage,42.945736434108525,38.727858293075684
FY2024Q2,vs Prev Year (FY2023Q2),Overall Inquarter,Avg Sales Cycle,Increase,19.49%,3.1285303631874015,Days,19.180505415162454,16.051975051975052
FY2024Q2,vs Prev Year (FY2023Q2),Overall Inquarter,Pipegen ARR,Increase,0.00%,22631394.35,ARR,22631394.35,0.0
FY2024Q2,vs Prev Year (FY2023Q2),Overall Inquarter,# of Pipegen Opps,Increase,0.00%,1451.0,Count,1451.0,0.0
FY2024Q2,vs Avg of FY2023Q2-FY2024Q1,Overall Inquarter,Total ARR,Increase,71.86%,1790622.38,ARR,4282609.92,2491987.54
FY2024Q2,vs Avg of FY2023Q2-FY2024Q1,Overall Inquarter,# of Opps,Drop/Decrease,-48.24%,-604.0,Count,648.0,1252.0
FY2024Q2,vs Avg of FY2023Q2-FY2024Q1,Overall Inquarter,# of Won Opps,Drop/Decrease,-38.51%,-173.5,Count,277.0,450.5
FY2024Q2,vs Avg of FY2023Q2-FY2024Q1,Overall Inquarter,Won ARR,Drop/Decrease,-4.59%,-70278.57999999984,ARR,1461368.07,1531646.65
FY2024Q2,vs Avg of FY2023Q2-FY2024Q1,Overall Inquarter,Avg Sales Price,Increase,48.61%,1725.7512072700965,Currency,5275.697003610108,3549.945796340012
FY2024Q2,vs Avg of FY2023Q2-FY2024Q1,Overall Inquarter,Win Rate (Count),Increase,19.13%,6.897528133596808,Percentage,42.945736434108525,36.04820830051172
FY2024Q2,vs Avg of FY2023Q2-FY2024Q1,Overall Inquarter,Avg Sales Cycle,Increase,15.99%,2.644218271484071,Days,19.180505415162454,16.536287143678383
FY2024Q2,vs Avg of FY2023Q2-FY2024Q1,Overall Inquarter,Pipegen ARR,Increase,225.22%,15672645.985000001,ARR,22631394.35,6958748.365
FY2024Q2,vs Avg of FY2023Q2-FY2024Q1,Overall Inquarter,# of Pipegen Opps,Increase,210.21%,983.25,Count,1451.0,467.75
FY2024Q3,vs Prev Q (FY2024Q2),Overall Inquarter,Total ARR,Increase,9.85%,421992.7700000005,ARR,4704602.69,4282609.92
FY2024Q3,vs Prev Q (FY2024Q2),Overall Inquarter,# of Opps,Increase,8.02%,52.0,Count,700.0,648.0
FY2024Q3,vs Prev Q (FY2024Q2),Overall Inquarter,# of Won Opps,Increase,8.66%,24.0,Count,301.0,277.0
FY2024Q3,vs Prev Q (FY2024Q2),Overall Inquarter,Won ARR,Increase,5.72%,83641.73999999999,ARR,1545009.81,1461368.07
FY2024Q3,vs Prev Q (FY2024Q2),Overall Inquarter,Avg Sales Price,Drop/Decrease,-2.71%,-142.77404679947722,Currency,5132.922956810631,5275.697003610108
FY2024Q3,vs Prev Q (FY2024Q2),Overall Inquarter,Win Rate (Count),Increase,0.99%,0.42602149096352093,Percentage,43.371757925072046,42.945736434108525
FY2024Q3,vs Prev Q (FY2024Q2),Overall Inquarter,Avg Sales Cycle,Drop/Decrease,-5.34%,-1.0243592357604605,Days,18.156146179401993,19.180505415162454
FY2024Q3,vs Prev Q (FY2024Q2),Overall Inquarter,Pipegen ARR,Drop/Decrease,-36.61%,-8285434.450000001,ARR,14345959.9,22631394.35
FY2024Q3,vs Prev Q (FY2024Q2),Overall Inquarter,# of Pipegen Opps,Drop/Decrease,-12.54%,-182.0,Count,1269.0,1451.0
FY2024Q3,vs Prev Year (FY2023Q3),Overall Inquarter,Total ARR,Increase,203.23%,3153083.16,ARR,4704602.69,1551519.53
FY2024Q3,vs Prev Year (FY2023Q3),Overall Inquarter,# of Opps,Drop/Decrease,-56.25%,-900.0,Count,700.0,1600.0
FY2024Q3,vs Prev Year (FY2023Q3),Overall Inquarter,# of Won Opps,Drop/Decrease,-46.06%,-257.0,Count,301.0,558.0
FY2024Q3,vs Prev Year (FY2023Q3),Overall Inquarter,Won ARR,Increase,1.28%,19490.28000000026,ARR,1545009.81,1525519.5299999998
FY2024Q3,vs Prev Year (FY2023Q3),Overall Inquarter,Avg Sales Price,Increase,87.75%,2399.016989068696,Currency,5132.922956810631,2733.905967741935
FY2024Q3,vs Prev Year (FY2023Q3),Overall Inquarter,Win Rate (Count),Increase,23.90%,8.365484399350592,Percentage,43.371757925072046,35.006273525721454
FY2024Q3,vs Prev Year (FY2023Q3),Overall Inquarter,Avg Sales Cycle,Increase,11.31%,1.8443182224127455,Days,18.156146179401993,16.311827956989248
FY2024Q3,vs Prev Year (FY2023Q3),Overall Inquarter,Pipegen ARR,Increase,0.00%,14345959.9,ARR,14345959.9,0.0
FY2024Q3,vs Prev Year (FY2023Q3),Overall Inquarter,# of Pipegen Opps,Increase,0.00%,1269.0,Count,1269.0,0.0
FY2024Q3,vs Avg of FY2023Q3-FY2024Q2,Overall Inquarter,Total ARR,Increase,50.68%,1582447.2875000006,ARR,4704602.69,3122155.4025
FY2024Q3,vs Avg of FY2023Q3-FY2024Q2,Overall Inquarter,# of Opps,Drop/Decrease,-36.55%,-403.25,Count,700.0,1103.25
FY2024Q3,vs Avg of FY2023Q3-FY2024Q2,Overall Inquarter,# of Won Opps,Drop/Decrease,-24.66%,-98.5,Count,301.0,399.5
FY2024Q3,vs Avg of FY2023Q3-FY2024Q2,Overall Inquarter,Won ARR,Increase,6.02%,87755.76000000024,ARR,1545009.81,1457254.0499999998
FY2024Q3,vs Avg of FY2023Q3-FY2024Q2,Overall Inquarter,Avg Sales Price,Increase,29.79%,1178.262093559776,Currency,5132.922956810631,3954.660863250855
FY2024Q3,vs Avg of FY2023Q3-FY2024Q2,Overall Inquarter,Win Rate (Count),Increase,16.90%,6.269080089302115,Percentage,43.371757925072046,37.10267783576993
FY2024Q3,vs Avg of FY2023Q3-FY2024Q2,Overall Inquarter,Avg Sales Cycle,Increase,4.84%,0.8377264449267585,Days,18.156146179401993,17.318419734475235
FY2024Q3,vs Avg of FY2023Q3-FY2024Q2,Overall Inquarter,Pipegen ARR,Increase,13.71%,1729362.9474999998,ARR,14345959.9,12616596.9525
FY2024Q3,vs Avg of FY2023Q3-FY2024Q2,Overall Inquarter,# of Pipegen Opps,Increase,52.80%,438.5,Count,1269.0,830.5
FY2024Q4,vs Prev Q (FY2024Q3),Overall Inquarter,Total ARR,Drop/Decrease,-15.45%,-726661.2700000005,ARR,3977941.42,4704602.69
FY2024Q4,vs Prev Q (FY2024Q3),Overall Inquarter,# of Opps,Drop/Decrease,-24.86%,-174.0,Count,526.0,700.0
FY2024Q4,vs Prev Q (FY2024Q3),Overall Inquarter,# of Won Opps,Drop/Decrease,-18.60%,-56.0,Count,245.0,301.0
FY2024Q4,vs Prev Q (FY2024Q3),Overall Inquarter,Won ARR,Drop/Decrease,-10.98%,-169668.85999999987,ARR,1375340.9500000002,1545009.81
FY2024Q4,vs Prev Q (FY2024Q3),Overall Inquarter,Avg Sales Price,Increase,9.37%,480.7135738016141,Currency,5613.636530612245,5132.922956810631
FY2024Q4,vs Prev Q (FY2024Q3),Overall Inquarter,Win Rate (Count),Increase,8.42%,3.653194090283044,Percentage,47.02495201535509,43.371757925072046
FY2024Q4,vs Prev Q (FY2024Q3),Overall Inquarter,Avg Sales Cycle,Increase,8.49%,1.541813004271475,Days,19.69795918367347,18.156146179401993
FY2024Q4,vs Prev Q (FY2024Q3),Overall Inquarter,Pipegen ARR,Increase,7.79%,1118073.6199999992,ARR,15464033.52,14345959.9
FY2024Q4,vs Prev Q (FY2024Q3),Overall Inquarter,# of Pipegen Opps,Increase,17.57%,223.0,Count,1492.0,1269.0
FY2024Q4,vs Prev Year (FY2023Q4),Overall Inquarter,Total ARR,Increase,217.00%,2723053.11,ARR,3977941.42,1254888.31
FY2024Q4,vs Prev Year (FY2023Q4),Overall Inquarter,# of Opps,Drop/Decrease,-56.92%,-695.0,Count,526.0,1221.0
FY2024Q4,vs Prev Year (FY2023Q4),Overall Inquarter,# of Won Opps,Drop/Decrease,-43.81%,-191.0,Count,245.0,436.0
FY2024Q4,vs Prev Year (FY2023Q4),Overall Inquarter,Won ARR,Increase,19.15%,221051.50000000023,ARR,1375340.9500000002,1154289.45
FY2024Q4,vs Prev Year (FY2023Q4),Overall Inquarter,Avg Sales Price,Increase,112.04%,2966.1836636397684,Currency,5613.636530612245,2647.452866972477
FY2024Q4,vs Prev Year (FY2023Q4),Overall Inquarter,Win Rate (Count),Increase,31.69%,11.316516306919382,Percentage,47.02495201535509,35.70843570843571
FY2024Q4,vs Prev Year (FY2023Q4),Overall Inquarter,Avg Sales Cycle,Increase,2.61%,0.5007114772514498,Days,19.69795918367347,19.19724770642202
FY2024Q4,vs Prev Year (FY2023Q4),Overall Inquarter,Pipegen ARR,Increase,0.00%,15464033.52,ARR,15464033.52,0.0
FY2024Q4,vs Prev Year (FY2023Q4),Overall Inquarter,# of Pipegen Opps,Increase,0.00%,1492.0,Count,1492.0,0.0
FY2024Q4,vs Avg of FY2023Q4-FY2024Q3,Overall Inquarter,Total ARR,Increase,1.73%,67515.22750000004,ARR,3977941.42,3910426.1925
FY2024Q4,vs Avg of FY2023Q4-FY2024Q3,Overall Inquarter,# of Opps,Drop/Decrease,-40.11%,-352.25,Count,526.0,878.25
FY2024Q4,vs Avg of FY2023Q4-FY2024Q3,Overall Inquarter,# of Won Opps,Drop/Decrease,-26.92%,-90.25,Count,245.0,335.25
FY2024Q4,vs Avg of FY2023Q4-FY2024Q3,Overall Inquarter,Won ARR,Drop/Decrease,-5.94%,-86785.66999999993,ARR,1375340.9500000002,1462126.62
FY2024Q4,vs Avg of FY2023Q4-FY2024Q3,Overall Inquarter,Avg Sales Price,Increase,23.26%,1059.2214200942162,Currency,5613.636530612245,4554.415110518029
FY2024Q4,vs Avg of FY2023Q4-FY2024Q3,Overall Inquarter,Win Rate (Count),Increase,19.98%,7.830903079747507,Percentage,47.02495201535509,39.19404893560758
FY2024Q4,vs Avg of FY2023Q4-FY2024Q3,Overall Inquarter,Avg Sales Cycle,Increase,10.79%,1.918459893595049,Days,19.69795918367347,17.77949929007842
FY2024Q4,vs Avg of FY2023Q4-FY2024Q3,Overall Inquarter,Pipegen ARR,Drop/Decrease,-4.56%,-739053.4075000007,ARR,15464033.52,16203086.9275
FY2024Q4,vs Avg of FY2023Q4-FY2024Q3,Overall Inquarter,# of Pipegen Opps,Increase,29.99%,344.25,Count,1492.0,1147.75
FY2025Q1,vs Prev Q (FY2024Q4),Overall Inquarter,Total ARR,Increase,11.98%,476747.03000000026,ARR,4454688.45,3977941.42
FY2025Q1,vs Prev Q (FY2024Q4),Overall Inquarter,# of Opps,Increase,4.56%,24.0,Count,550.0,526.0
FY2025Q1,vs Prev Q (FY2024Q4),Overall Inquarter,# of Won Opps,Increase,3.67%,9.0,Count,254.0,245.0
FY2025Q1,vs Prev Q (FY2024Q4),Overall Inquarter,Won ARR,Increase,8.55%,117611.67999999993,ARR,1492952.6300000001,1375340.9500000002
FY2025Q1,vs Prev Q (FY2024Q4),Overall Inquarter,Avg Sales Price,Increase,4.71%,264.1297292302752,Currency,5877.76625984252,5613.636530612245
FY2025Q1,vs Prev Q (FY2024Q4),Overall Inquarter,Win Rate (Count),Drop/Decrease,-1.61%,-0.7590139461383316,Percentage,46.26593806921676,47.02495201535509
FY2025Q1,vs Prev Q (FY2024Q4),Overall Inquarter,Avg Sales Cycle,Increase,10.05%,1.979206170657239,Days,21.677165354330707,19.69795918367347
FY2025Q1,vs Prev Q (FY2024Q4),Overall Inquarter,Pipegen ARR,Drop/Decrease,-100.00%,-15464033.52,ARR,0.0,15464033.52
FY2025Q1,vs Prev Q (FY2024Q4),Overall Inquarter,# of Pipegen Opps,Drop/Decrease,-100.00%,-1492.0,Count,0.0,1492.0
FY2025Q1,vs Prev Year (FY2024Q1),Overall Inquarter,Total ARR,Drop/Decrease,-17.50%,-944915.3999999994,ARR,4454688.45,5399603.85
FY2025Q1,vs Prev Year (FY2024Q1),Overall Inquarter,# of Opps,Drop/Decrease,-41.74%,-394.0,Count,550.0,944.0
FY2025Q1,vs Prev Year (FY2024Q1),Overall Inquarter,# of Won Opps,Drop/Decrease,-22.32%,-73.0,Count,254.0,327.0
FY2025Q1,vs Prev Year (FY2024Q1),Overall Inquarter,Won ARR,Drop/Decrease,-11.55%,-194886.5199999998,ARR,1492952.6300000001,1687839.15
FY2025Q1,vs Prev Year (FY2024Q1),Overall Inquarter,Avg Sales Price,Increase,13.88%,716.1786451636217,Currency,5877.76625984252,5161.587614678899
FY2025Q1,vs Prev Year (FY2024Q1),Overall Inquarter,Win Rate (Count),Increase,33.14%,11.515672394402728,Percentage,46.26593806921676,34.75026567481403
FY2025Q1,vs Prev Year (FY2024Q1),Overall Inquarter,Avg Sales Cycle,Increase,48.64%,7.09306749500349,Days,21.677165354330707,14.584097859327217
FY2025Q1,vs Prev Year (FY2024Q1),Overall Inquarter,Pipegen ARR,Drop/Decrease,-100.00%,-27834993.46,ARR,0.0,27834993.46
FY2025Q1,vs Prev Year (FY2024Q1),Overall Inquarter,# of Pipegen Opps,Drop/Decrease,-100.00%,-1871.0,Count,0.0,1871.0
FY2025Q1,vs Avg of FY2024Q1-FY2024Q4,Overall Inquarter,Total ARR,Drop/Decrease,-2.97%,-136501.02000000048,ARR,4454688.45,4591189.470000001
FY2025Q1,vs Avg of FY2024Q1-FY2024Q4,Overall Inquarter,# of Opps,Drop/Decrease,-21.93%,-154.5,Count,550.0,704.5
FY2025Q1,vs Avg of FY2024Q1-FY2024Q4,Overall Inquarter,# of Won Opps,Drop/Decrease,-11.65%,-33.5,Count,254.0,287.5
FY2025Q1,vs Avg of FY2024Q1-FY2024Q4,Overall Inquarter,Won ARR,Drop/Decrease,-1.61%,-24436.864999999758,ARR,1492952.6300000001,1517389.4949999999
FY2025Q1,vs Avg of FY2024Q1-FY2024Q4,Overall Inquarter,Avg Sales Price,Increase,10.99%,581.8052334145495,Currency,5877.76625984252,5295.961026427971
FY2025Q1,vs Avg of FY2024Q1-FY2024Q4,Overall Inquarter,Win Rate (Count),Increase,10.10%,4.242760056879334,Percentage,46.26593806921676,42.023178012337425
FY2025Q1,vs Avg of FY2024Q1-FY2024Q4,Overall Inquarter,Avg Sales Cycle,Increase,21.07%,3.7724881949394238,Days,21.677165354330707,17.904677159391284
FY2025Q1,vs Avg of FY2024Q1-FY2024Q4,Overall Inquarter,Pipegen ARR,Drop/Decrease,-100.00%,-20069095.3075,ARR,0.0,20069095.3075
FY2025Q1,vs Avg of FY2024Q1-FY2024Q4,Overall Inquarter,# of Pipegen Opps,Drop/Decrease,-100.00%,-1520.75,Count,0.0,1520.75
FY2025Q2,vs Prev Q (FY2025Q1),Overall Inquarter,Total ARR,Drop/Decrease,-5.07%,-225787.36000000034,ARR,4228901.09,4454688.45
FY2025Q2,vs Prev Q (FY2025Q1),Overall Inquarter,# of Opps,Drop/Decrease,-8.36%,-46.0,Count,504.0,550.0
FY2025Q2,vs Prev Q (FY2025Q1),Overall Inquarter,# of Won Opps,Drop/Decrease,-14.17%,-36.0,Count,218.0,254.0
FY2025Q2,vs Prev Q (FY2025Q1),Overall Inquarter,Won ARR,Drop/Decrease,-0.18%,-2756.600000000326,ARR,1490196.0299999998,1492952.6300000001
FY2025Q2,vs Prev Q (FY2025Q1),Overall Inquarter,Avg Sales Price,Increase,16.30%,957.995345662066,Currency,6835.761605504586,5877.76625984252
FY2025Q2,vs Prev Q (FY2025Q1),Overall Inquarter,Win Rate (Count),Drop/Decrease,-6.14%,-2.839643248499627,Percentage,43.42629482071713,46.26593806921676
FY2025Q2,vs Prev Q (FY2025Q1),Overall Inquarter,Avg Sales Cycle,Drop/Decrease,-0.56%,-0.1221194827710761,Days,21.55504587155963,21.677165354330707
FY2025Q2,vs Prev Q (FY2025Q1),Overall Inquarter,Pipegen ARR,No Change,0.00%,0.0,ARR,0.0,0.0
FY2025Q2,vs Prev Q (FY2025Q1),Overall Inquarter,# of Pipegen Opps,No Change,0.00%,0.0,Count,0.0,0.0
FY2025Q2,vs Prev Year (FY2024Q2),Overall Inquarter,Total ARR,Drop/Decrease,-1.25%,-53708.830000000075,ARR,4228901.09,4282609.92
FY2025Q2,vs Prev Year (FY2024Q2),Overall Inquarter,# of Opps,Drop/Decrease,-22.22%,-144.0,Count,504.0,648.0
FY2025Q2,vs Prev Year (FY2024Q2),Overall Inquarter,# of Won Opps,Drop/Decrease,-21.30%,-59.0,Count,218.0,277.0
FY2025Q2,vs Prev Year (FY2024Q2),Overall Inquarter,Won ARR,Increase,1.97%,28827.95999999973,ARR,1490196.0299999998,1461368.07
FY2025Q2,vs Prev Year (FY2024Q2),Overall Inquarter,Avg Sales Price,Increase,29.57%,1560.064601894478,Currency,6835.761605504586,5275.697003610108
FY2025Q2,vs Prev Year (FY2024Q2),Overall Inquarter,Win Rate (Count),Increase,1.12%,0.4805583866086067,Percentage,43.42629482071713,42.945736434108525
FY2025Q2,vs Prev Year (FY2024Q2),Overall Inquarter,Avg Sales Cycle,Increase,12.38%,2.3745404563971775,Days,21.55504587155963,19.180505415162454
FY2025Q2,vs Prev Year (FY2024Q2),Overall Inquarter,Pipegen ARR,Drop/Decrease,-100.00%,-22631394.35,ARR,0.0,22631394.35
