Quarter,Comparison,Group,Metric,Type,% Change,Abs Change,Metric Type
FY2024Q3,vs Prev Year (FY2023Q3),Overall Inquarter,# of Opps,Drop/Decrease,-56.25%,-900.0,Count
FY2024Q3,vs Prev Year (FY2023Q3),Overall Inquarter,# of Won Opps,Drop/Decrease,-46.06%,-257.0,Count
FY2024Q3,vs Prev Year (FY2023Q3),Overall Inquarter,Win Rate (Count),Increase,23.90%,8.365484399350592,Percentage
FY2024Q3,vs Prev Year (FY2023Q3),Overall Inquarter,Avg Sales Price,Increase,87.75%,2399.016989068696,Currency
FY2024Q3,vs Avg of FY2023Q3-FY2024Q2,Overall Inquarter,Total ARR,Increase,50.68%,1582447.2875000006,ARR
FY2024Q3,vs Avg of FY2023Q3-FY2024Q2,Overall Inquarter,# of Opps,Drop/Decrease,-36.55%,-403.25,Count
FY2024Q3,vs Avg of FY2023Q3-FY2024Q2,Overall Inquarter,# of Won Opps,Drop/Decrease,-24.66%,-98.5,Count
FY2024Q3,vs Avg of FY2023Q3-FY2024Q2,Overall Inquarter,Win Rate (Count),Increase,16.90%,6.269080089302115,Percentage
FY2024Q3,vs Avg of FY2023Q3-FY2024Q2,Overall Inquarter,Avg Sales Price,Increase,29.79%,1178.262093559776,Currency
FY2024Q4,vs Prev Q (FY2024Q3),Overall Inquarter,# of Opps,Drop/Decrease,-24.86%,-174.0,Count
FY2024Q4,vs Prev Year (FY2023Q4),Overall Inquarter,Total ARR,Increase,217.00%,2723053.11,ARR
FY2024Q4,vs Prev Year (FY2023Q4),Overall Inquarter,# of Opps,Drop/Decrease,-56.92%,-695.0,Count
FY2024Q4,vs Prev Year (FY2023Q4),Overall Inquarter,# of Won Opps,Drop/Decrease,-43.81%,-191.0,Count
FY2024Q4,vs Prev Year (FY2023Q4),Overall Inquarter,Win Rate (Count),Increase,31.69%,11.316516306919382,Percentage
FY2024Q4,vs Prev Year (FY2023Q4),Overall Inquarter,Avg Sales Price,Increase,112.04%,2966.1836636397684,Currency
FY2024Q4,vs Avg of FY2023Q4-FY2024Q3,Overall Inquarter,# of Opps,Drop/Decrease,-40.11%,-352.25,Count
FY2024Q4,vs Avg of FY2023Q4-FY2024Q3,Overall Inquarter,# of Won Opps,Drop/Decrease,-26.92%,-90.25,Count
FY2024Q4,vs Avg of FY2023Q4-FY2024Q3,Overall Inquarter,Win Rate (Count),Increase,19.98%,7.830903079747507,Percentage
FY2024Q4,vs Avg of FY2023Q4-FY2024Q3,Overall Inquarter,Avg Sales Price,Increase,23.26%,1059.2214200942162,Currency
FY2025Q1,vs Prev Year (FY2024Q1),Overall Inquarter,# of Opps,Drop/Decrease,-41.74%,-394.0,Count
FY2025Q1,vs Prev Year (FY2024Q1),Overall Inquarter,# of Won Opps,Drop/Decrease,-22.32%,-73.0,Count
FY2025Q1,vs Prev Year (FY2024Q1),Overall Inquarter,Win Rate (Count),Increase,33.14%,11.515672394402728,Percentage
FY2025Q1,vs Prev Year (FY2024Q1),Overall Inquarter,Avg Sales Cycle,Increase,48.64%,7.09306749500349,Days
FY2025Q1,vs Avg of FY2024Q1-FY2024Q4,Overall Inquarter,# of Opps,Drop/Decrease,-21.93%,-154.5,Count
FY2025Q1,vs Avg of FY2024Q1-FY2024Q4,Overall Inquarter,Avg Sales Cycle,Increase,21.07%,3.7724881949394238,Days
FY2025Q2,vs Prev Year (FY2024Q2),Overall Inquarter,# of Opps,Drop/Decrease,-22.22%,-144.0,Count
FY2025Q2,vs Prev Year (FY2024Q2),Overall Inquarter,# of Won Opps,Drop/Decrease,-21.30%,-59.0,Count
FY2025Q2,vs Prev Year (FY2024Q2),Overall Inquarter,Avg Sales Price,Increase,29.57%,1560.064601894478,Currency
FY2025Q2,vs Avg of FY2024Q2-FY2025Q1,Overall Inquarter,Avg Sales Price,Increase,24.85%,1360.7559177857102,Currency
FY2025Q3,vs Prev Q (FY2025Q2),Overall Inquarter,Total ARR,Drop/Decrease,-35.99%,-1521824.9099999997,ARR
FY2025Q3,vs Prev Q (FY2025Q2),Overall Inquarter,Won ARR,Drop/Decrease,-27.90%,-415692.62999999966,ARR
FY2025Q3,vs Prev Q (FY2025Q2),Overall Inquarter,Avg Sales Price,Drop/Decrease,-21.01%,-1436.2470326402645,Currency
FY2025Q3,vs Prev Year (FY2024Q3),Overall Inquarter,Total ARR,Drop/Decrease,-42.46%,-1997526.5100000002,ARR
FY2025Q3,vs Prev Year (FY2024Q3),Overall Inquarter,Won ARR,Drop/Decrease,-30.45%,-470506.4099999999,ARR
FY2025Q3,vs Prev Year (FY2024Q3),Overall Inquarter,# of Opps,Drop/Decrease,-36.14%,-253.0,Count
FY2025Q3,vs Prev Year (FY2024Q3),Overall Inquarter,# of Won Opps,Drop/Decrease,-33.89%,-102.0,Count
FY2025Q3,vs Avg of FY2024Q3-FY2025Q2,Overall Inquarter,Total ARR,Drop/Decrease,-37.65%,-1634457.2324999995,ARR
FY2025Q3,vs Avg of FY2024Q3-FY2025Q2,Overall Inquarter,Won ARR,Drop/Decrease,-27.20%,-401371.45499999984,ARR
FY2025Q3,vs Avg of FY2024Q3-FY2025Q2,Overall Inquarter,# of Opps,Drop/Decrease,-21.58%,-123.0,Count
FY2025Q3,vs Avg of FY2024Q3-FY2025Q2,Overall Inquarter,# of Won Opps,Drop/Decrease,-21.81%,-55.5,Count
FY2025Q4,vs Prev Year (FY2024Q4),Overall Inquarter,Total ARR,Drop/Decrease,-33.01%,-1313064.6600000001,ARR
FY2025Q4,vs Prev Year (FY2024Q4),Overall Inquarter,Won ARR,Drop/Decrease,-25.34%,-348578.8000000003,ARR
FY2025Q4,vs Prev Year (FY2024Q4),Overall Inquarter,Avg Sales Cycle,Increase,18.73%,3.688975489693366,Days
FY2025Q4,vs Avg of FY2024Q4-FY2025Q3,Overall Inquarter,Total ARR,Drop/Decrease,-30.64%,-1177275.0250000004,ARR
FY2025Q4,vs Avg of FY2024Q4-FY2025Q3,Overall Inquarter,Won ARR,Drop/Decrease,-24.41%,-331486.10250000004,ARR
FY2026Q1,vs Prev Q (FY2025Q4),Overall Inquarter,Total ARR,Increase,124.04%,3305594.7300000004,ARR
FY2026Q1,vs Prev Q (FY2025Q4),Overall Inquarter,Won ARR,Increase,46.37%,476142.92000000016,ARR
FY2026Q1,vs Prev Q (FY2025Q4),Overall Inquarter,# of Opps,Increase,60.36%,271.0,Count
FY2026Q1,vs Prev Q (FY2025Q4),Overall Inquarter,Win Rate (Count),Drop/Decrease,-24.83%,-11.103281914555957,Percentage
FY2026Q1,vs Prev Q (FY2025Q4),Overall Inquarter,Avg Sales Cycle,Drop/Decrease,-25.50%,-5.9625649254676745,Days
FY2026Q1,vs Prev Q (FY2025Q4),Overall Inquarter,Avg Sales Price,Increase,22.39%,1155.118390904101,Currency
FY2026Q1,vs Prev Year (FY2025Q1),Overall Inquarter,Total ARR,Increase,34.03%,1515783.04,ARR
FY2026Q1,vs Prev Year (FY2025Q1),Overall Inquarter,# of Opps,Increase,30.91%,170.0,Count
FY2026Q1,vs Prev Year (FY2025Q1),Overall Inquarter,Win Rate (Count),Drop/Decrease,-27.34%,-12.650118860177209,Percentage
FY2026Q1,vs Prev Year (FY2025Q1),Overall Inquarter,Avg Sales Cycle,Drop/Decrease,-19.62%,-4.2527956064315475,Days
FY2026Q1,vs Avg of FY2025Q1-FY2025Q4,Overall Inquarter,Total ARR,Increase,69.91%,2456585.8700000006,ARR
FY2026Q1,vs Avg of FY2025Q1-FY2025Q4,Overall Inquarter,# of Opps,Increase,47.69%,232.5,Count
FY2026Q1,vs Avg of FY2025Q1-FY2025Q4,Overall Inquarter,Win Rate (Count),Drop/Decrease,-25.11%,-11.268193432664795,Percentage
FY2026Q1,vs Avg of FY2025Q1-FY2025Q4,Overall Inquarter,Avg Sales Cycle,Drop/Decrease,-19.93%,-4.335944365106087,Days
FY2026Q2,vs Prev Q (FY2026Q1),Overall Inquarter,Total ARR,Drop/Decrease,-24.70%,-1474654.9000000004,ARR
FY2026Q2,vs Prev Q (FY2026Q1),Overall Inquarter,Won ARR,Drop/Decrease,-51.46%,-773334.25,ARR
FY2026Q2,vs Prev Q (FY2026Q1),Overall Inquarter,# of Opps,Drop/Decrease,-22.78%,-164.0,Count
FY2026Q2,vs Prev Q (FY2026Q1),Overall Inquarter,# of Won Opps,Drop/Decrease,-37.39%,-89.0,Count
FY2026Q2,vs Prev Q (FY2026Q1),Overall Inquarter,Win Rate (Count),Increase,24.16%,8.1208754688316,Percentage
FY2026Q2,vs Prev Q (FY2026Q1),Overall Inquarter,Avg Sales Cycle,Drop/Decrease,-33.44%,-5.82705431165755,Days
FY2026Q2,vs Prev Q (FY2026Q1),Overall Inquarter,Avg Sales Price,Drop/Decrease,-22.46%,-1418.2787284981105,Currency
FY2026Q2,vs Prev Year (FY2025Q2),Overall Inquarter,Won ARR,Drop/Decrease,-51.04%,-760625.2099999997,ARR
FY2026Q2,vs Prev Year (FY2025Q2),Overall Inquarter,# of Won Opps,Drop/Decrease,-31.65%,-69.0,Count
FY2026Q2,vs Prev Year (FY2025Q2),Overall Inquarter,Avg Sales Cycle,Drop/Decrease,-46.20%,-9.957730435318021,Days
FY2026Q2,vs Prev Year (FY2025Q2),Overall Inquarter,Avg Sales Price,Drop/Decrease,-28.37%,-1939.3131491287468,Currency
FY2026Q2,vs Avg of FY2025Q2-FY2026Q1,Overall Inquarter,Won ARR,Drop/Decrease,-42.72%,-544020.8424999998,ARR
FY2026Q2,vs Avg of FY2025Q2-FY2026Q1,Overall Inquarter,# of Won Opps,Drop/Decrease,-30.21%,-64.5,Count
FY2026Q2,vs Avg of FY2025Q2-FY2026Q1,Overall Inquarter,Avg Sales Cycle,Drop/Decrease,-43.97%,-9.099799775155754,Days
FY2023Q2,vs Prev Q (FY2023Q1),Overall Total,Total ARR,Drop/Decrease,-28.50%,-1289646.3700000006,ARR
FY2023Q2,vs Prev Q (FY2023Q1),Overall Total,Won ARR,Drop/Decrease,-29.51%,-1335646.3699999996,ARR
FY2023Q2,vs Prev Q (FY2023Q1),Overall Total,Win Rate (Count),Drop/Decrease,-15.21%,-5.291711154903336,Percentage
FY2023Q2,vs Prev Q (FY2023Q1),Overall Total,Avg Sales Cycle,Increase,25.50%,9.95363454158825,Days
FY2023Q4,vs Prev Q (FY2023Q3),Overall Total,Won ARR,Drop/Decrease,-20.55%,-594142.3099999996,ARR
FY2024Q1,vs Prev Q (FY2023Q4),Overall Total,Total ARR,Increase,486.05%,11879047.14,ARR
FY2024Q1,vs Prev Q (FY2023Q4),Overall Total,Won ARR,Increase,44.24%,1016087.5,ARR
FY2024Q1,vs Prev Q (FY2023Q4),Overall Total,Avg Sales Price,Increase,69.58%,2363.83639416002,Currency
FY2024Q1,vs Prev Year (FY2023Q1),Overall Total,Total ARR,Increase,216.48%,9797365.61,ARR
FY2024Q1,vs Prev Year (FY2023Q1),Overall Total,Won ARR,Drop/Decrease,-26.80%,-1213088.0299999993,ARR
FY2024Q1,vs Prev Year (FY2023Q1),Overall Total,# of Opps,Drop/Decrease,-26.12%,-754.0,Count
FY2024Q1,vs Prev Year (FY2023Q1),Overall Total,# of Won Opps,Drop/Decrease,-42.73%,-429.0,Count
FY2024Q1,vs Prev Year (FY2023Q1),Overall Total,Win Rate (Count),Drop/Decrease,-22.26%,-7.742538833790007,Percentage
FY2024Q1,vs Prev Year (FY2023Q1),Overall Total,Avg Sales Cycle,Increase,22.20%,8.666261908886199,Days
FY2024Q1,vs Prev Year (FY2023Q1),Overall Total,Avg Sales Price,Increase,27.81%,1253.388240325654,Currency
FY2024Q1,vs Avg of FY2023Q1-FY2023Q4,Overall Total,Total ARR,Increase,335.81%,11036487.790000001,ARR
FY2024Q1,vs Avg of FY2023Q1-FY2023Q4,Overall Total,# of Opps,Drop/Decrease,-23.34%,-649.25,Count
FY2024Q1,vs Avg of FY2023Q1-FY2023Q4,Overall Total,# of Won Opps,Drop/Decrease,-30.37%,-250.75,Count
FY2024Q1,vs Avg of FY2023Q1-FY2023Q4,Overall Total,Avg Sales Price,Increase,49.67%,1911.9024782534525,Currency
FY2024Q2,vs Prev Q (FY2024Q1),Overall Total,Total ARR,Drop/Decrease,-26.26%,-3761836.17,ARR
FY2024Q2,vs Prev Q (FY2024Q1),Overall Total,# of Opps,Drop/Decrease,-37.22%,-794.0,Count
FY2024Q2,vs Prev Q (FY2024Q1),Overall Total,Win Rate (Count),Increase,43.51%,11.767717858969036,Percentage
FY2024Q2,vs Prev Q (FY2024Q1),Overall Total,Avg Sales Cycle,Increase,46.77%,22.30860650912455,Days
FY2024Q2,vs Prev Year (FY2023Q2),Overall Total,Total ARR,Increase,226.36%,7325175.8100000005,ARR
FY2024Q2,vs Prev Year (FY2023Q2),Overall Total,# of Opps,Drop/Decrease,-51.56%,-1425.0,Count
FY2024Q2,vs Prev Year (FY2023Q2),Overall Total,# of Won Opps,Drop/Decrease,-36.56%,-298.0,Count
FY2024Q2,vs Prev Year (FY2023Q2),Overall Total,Win Rate (Count),Increase,31.59%,9.316890180082364,Percentage
FY2024Q2,vs Prev Year (FY2023Q2),Overall Total,Avg Sales Cycle,Increase,42.91%,21.0212338764225,Days
FY2024Q2,vs Prev Year (FY2023Q2),Overall Total,Avg Sales Price,Increase,62.44%,2444.1767403021213,Currency
FY2024Q2,vs Avg of FY2023Q2-FY2024Q1,Overall Total,Total ARR,Increase,84.12%,4825310.217500001,ARR
FY2024Q2,vs Avg of FY2023Q2-FY2024Q1,Overall Total,# of Opps,Drop/Decrease,-48.38%,-1254.75,Count
FY2024Q2,vs Avg of FY2023Q2-FY2024Q1,Overall Total,# of Won Opps,Drop/Decrease,-28.04%,-201.5,Count
FY2024Q2,vs Avg of FY2023Q2-FY2024Q1,Overall Total,Win Rate (Count),Increase,40.05%,11.09893976060166,Percentage
FY2024Q2,vs Avg of FY2023Q2-FY2024Q1,Overall Total,Avg Sales Cycle,Increase,45.14%,21.773788290643935,Days
FY2024Q2,vs Avg of FY2023Q2-FY2024Q1,Overall Total,Avg Sales Price,Increase,52.75%,2195.8487359081428,Currency
FY2024Q3,vs Prev Year (FY2023Q3),Overall Total,Total ARR,Increase,315.95%,9290644.29,ARR
FY2024Q3,vs Prev Year (FY2023Q3),Overall Total,Won ARR,Increase,21.26%,614613.6000000006,ARR
FY2024Q3,vs Prev Year (FY2023Q3),Overall Total,# of Opps,Drop/Decrease,-49.63%,-1488.0,Count
FY2024Q3,vs Prev Year (FY2023Q3),Overall Total,# of Won Opps,Drop/Decrease,-26.61%,-215.0,Count
FY2024Q3,vs Prev Year (FY2023Q3),Overall Total,Win Rate (Count),Increase,46.44%,12.54533000825916,Percentage
FY2024Q3,vs Prev Year (FY2023Q3),Overall Total,Avg Sales Cycle,Increase,32.01%,15.655827893075994,Days
FY2024Q3,vs Prev Year (FY2023Q3),Overall Total,Avg Sales Price,Increase,65.23%,2333.5348008114474,Currency
FY2024Q3,vs Avg of FY2023Q3-FY2024Q2,Overall Total,Total ARR,Increase,61.63%,4663970.295,ARR
FY2024Q3,vs Avg of FY2023Q3-FY2024Q2,Overall Total,# of Opps,Drop/Decrease,-32.51%,-727.5,Count
FY2024Q3,vs Avg of FY2023Q3-FY2024Q2,Overall Total,Win Rate (Count),Increase,31.67%,9.515609872747909,Percentage
FY2024Q3,vs Avg of FY2023Q3-FY2024Q2,Overall Total,Avg Sales Cycle,Increase,20.72%,11.08241235486556,Days
FY2024Q3,vs Avg of FY2023Q3-FY2024Q2,Overall Total,Avg Sales Price,Increase,23.83%,1137.5441779458379,Currency
FY2024Q4,vs Prev Q (FY2024Q3),Overall Total,Avg Sales Price,Increase,22.79%,1347.3209402626608,Currency
FY2024Q4,vs Prev Year (FY2023Q4),Overall Total,Total ARR,Increase,384.51%,9397446.45,ARR
FY2024Q4,vs Prev Year (FY2023Q4),Overall Total,Won ARR,Increase,56.45%,1296393.79,ARR
FY2024Q4,vs Prev Year (FY2023Q4),Overall Total,# of Opps,Drop/Decrease,-49.23%,-1221.0,Count
FY2024Q4,vs Prev Year (FY2023Q4),Overall Total,# of Won Opps,Drop/Decrease,-26.78%,-181.0,Count
FY2024Q4,vs Prev Year (FY2023Q4),Overall Total,Win Rate (Count),Increase,46.33%,12.649473688328044,Percentage
FY2024Q4,vs Prev Year (FY2023Q4),Overall Total,Avg Sales Cycle,Increase,49.85%,23.596993604685913,Days
FY2024Q4,vs Prev Year (FY2023Q4),Overall Total,Avg Sales Price,Increase,113.66%,3861.1902792720102,Currency
FY2024Q4,vs Avg of FY2023Q4-FY2024Q3,Overall Total,# of Opps,Drop/Decrease,-32.51%,-606.5,Count
FY2024Q4,vs Avg of FY2023Q4-FY2024Q3,Overall Total,Win Rate (Count),Increase,20.41%,6.771144749581403,Percentage
FY2024Q4,vs Avg of FY2023Q4-FY2024Q3,Overall Total,Avg Sales Cycle,Increase,23.57%,13.528099035675282,Days
FY2024Q4,vs Avg of FY2023Q4-FY2024Q3,Overall Total,Avg Sales Price,Increase,35.50%,1901.4814180056374,Currency
FY2025Q1,vs Prev Year (FY2024Q1),Overall Total,Total ARR,Drop/Decrease,-22.83%,-3269441.120000001,ARR
FY2025Q1,vs Prev Year (FY2024Q1),Overall Total,# of Opps,Drop/Decrease,-43.23%,-922.0,Count
FY2025Q1,vs Prev Year (FY2024Q1),Overall Total,Win Rate (Count),Increase,57.58%,15.572753086022608,Percentage
FY2025Q1,vs Prev Year (FY2024Q1),Overall Total,Avg Sales Cycle,Increase,33.25%,15.858599506508973,Days
FY2025Q1,vs Avg of FY2024Q1-FY2024Q4,Overall Total,# of Opps,Drop/Decrease,-22.38%,-349.25,Count
FY2025Q1,vs Avg of FY2024Q1-FY2024Q4,Overall Total,Win Rate (Count),Increase,17.27%,6.27605151848784,Percentage
FY2025Q3,vs Prev Year (FY2024Q3),Overall Total,# of Won Opps,Drop/Decrease,-23.10%,-137.0,Count
FY2025Q3,vs Prev Year (FY2024Q3),Overall Total,Avg Sales Cycle,Increase,18.35%,11.8471901718884,Days
FY2025Q3,vs Avg of FY2024Q3-FY2025Q2,Overall Total,Avg Sales Cycle,Increase,15.08%,10.011269869251379,Days
FY2025Q4,vs Prev Q (FY2025Q3),Overall Total,Avg Sales Price,Increase,23.64%,1514.1669083333327,Currency
FY2026Q1,vs Prev Q (FY2025Q4),Overall Total,Total ARR,Increase,30.49%,3371651.91,ARR
FY2026Q1,vs Prev Q (FY2025Q4),Overall Total,# of Opps,Increase,26.45%,301.0,Count
FY2026Q1,vs Prev Q (FY2025Q4),Overall Total,Win Rate (Count),Drop/Decrease,-17.43%,-6.223479490806223,Percentage
FY2026Q1,vs Prev Q (FY2025Q4),Overall Total,Avg Sales Cycle,Drop/Decrease,-24.90%,-19.213369304556352,Days
FY2026Q1,vs Prev Year (FY2025Q1),Overall Total,Total ARR,Increase,30.54%,3375684.530000001,ARR
FY2026Q1,vs Prev Year (FY2025Q1),Overall Total,Win Rate (Count),Drop/Decrease,-30.80%,-13.128042817387897,Percentage
FY2026Q1,vs Avg of FY2025Q1-FY2025Q4,Overall Total,Total ARR,Increase,28.19%,3172988.164999999,ARR
FY2026Q1,vs Avg of FY2025Q1-FY2025Q4,Overall Total,# of Opps,Increase,21.26%,252.25,Count
FY2026Q1,vs Avg of FY2025Q1-FY2025Q4,Overall Total,Win Rate (Count),Drop/Decrease,-25.02%,-9.840372749581984,Percentage
FY2026Q1,vs Avg of FY2025Q1-FY2025Q4,Overall Total,Avg Sales Cycle,Drop/Decrease,-18.28%,-12.9686783445716,Days
FY2026Q2,vs Prev Q (FY2026Q1),Overall Total,Won ARR,Drop/Decrease,-37.95%,-1191634.77,ARR
FY2026Q2,vs Prev Q (FY2026Q1),Overall Total,# of Won Opps,Drop/Decrease,-26.38%,-110.0,Count
FY2026Q2,vs Prev Year (FY2025Q2),Overall Total,Total ARR,Increase,24.63%,2725204.1500000004,ARR
FY2026Q2,vs Prev Year (FY2025Q2),Overall Total,Won ARR,Drop/Decrease,-37.05%,-1146626.81,ARR
FY2026Q2,vs Prev Year (FY2025Q2),Overall Total,# of Won Opps,Drop/Decrease,-36.17%,-174.0,Count
FY2026Q2,vs Prev Year (FY2025Q2),Overall Total,Win Rate (Count),Drop/Decrease,-24.69%,-10.230614903048249,Percentage
FY2026Q2,vs Avg of FY2025Q2-FY2026Q1,Overall Total,Won ARR,Drop/Decrease,-36.76%,-1132551.5900000003,ARR
FY2026Q2,vs Avg of FY2025Q2-FY2026Q1,Overall Total,# of Won Opps,Drop/Decrease,-29.99%,-131.5,Count
FY2026Q3,vs Prev Q (FY2026Q2),Overall Total,Total ARR,Increase,28.63%,3948459.710000001,ARR
FY2026Q3,vs Prev Q (FY2026Q2),Overall Total,Won ARR,Drop/Decrease,-100.00%,-1948195.8199999998,ARR
FY2026Q3,vs Prev Q (FY2026Q2),Overall Total,# of Opps,Drop/Decrease,-38.01%,-507.0,Count
FY2026Q3,vs Prev Q (FY2026Q2),Overall Total,# of Won Opps,Drop/Decrease,-100.00%,-307.0,Count
FY2026Q3,vs Prev Q (FY2026Q2),Overall Total,Win Rate (Count),Drop/Decrease,-100.00%,-31.199186991869922,Percentage
FY2026Q3,vs Prev Q (FY2026Q2),Overall Total,Avg Sales Price,Drop/Decrease,-100.00%,-6345.914723127035,Currency
FY2026Q3,vs Prev Year (FY2025Q3),Overall Total,Total ARR,Increase,49.74%,5893110.360000001,ARR
FY2026Q3,vs Prev Year (FY2025Q3),Overall Total,Won ARR,Drop/Decrease,-100.00%,-2920674.49,ARR
FY2026Q3,vs Prev Year (FY2025Q3),Overall Total,# of Opps,Drop/Decrease,-32.76%,-403.0,Count
FY2026Q3,vs Prev Year (FY2025Q3),Overall Total,# of Won Opps,Drop/Decrease,-100.00%,-456.0,Count
FY2026Q3,vs Prev Year (FY2025Q3),Overall Total,Win Rate (Count),Drop/Decrease,-100.00%,-37.56177924217463,Percentage
FY2026Q3,vs Prev Year (FY2025Q3),Overall Total,Avg Sales Price,Drop/Decrease,-100.00%,-6404.987916666667,Currency
FY2026Q3,vs Avg of FY2025Q3-FY2026Q2,Overall Total,Total ARR,Increase,38.80%,4958844.995000001,ARR
